# name    |  phd_institution  | host_institution  | hubble_year | foo
Joshua Carter     |    Massachusetts Institute of Technology - 2009     |    Smithsonian Astrophysical Observatory     |  2010  |
Caitlin Casey     |    University of Cambridge - 2010     |    University of Hawaii, Institute for Astronomy     |  2010  |
Michael Cooper     |    University of California, Berkeley - 2007     |    University of California, Irvine     |  2010  |
Selma de Mink     |    Utrecht University - 2010     |    Space Telescope Science Institute     |  2010  |
Trent Dupuy     |    University of Hawaii - 2010     |    Smithsonian Astrophysical Observatory     |  2010  |
Daniel Fabrycky     |    Princeton University - 2007     |    University of California, Santa Cruz     |  2010  |
Karoline Gilbert     |    University of California, Santa Cruz - 2008     |    University of Washington     |  2010  |
Henry Hsieh     |    University of Hawaii - 2007     |    University of Hawaii, Institute for Astronomy     |  2010  |
Ryan Keisler     |    University of Chicago - 2010     |    University of Chicago     |  2010  |
Dusan Keres     |    University of Massachusetts - 2007     |    University of California, Berkeley     |  2010  |
Maryam Modjaz     |    Harvard University - 2007     |    Columbia University     |  2010  |
Pascal Oesch     |    Eidgenossiche Technische Hochschule, Zurich 2010     |    University of California, Santa Cruz     |  2010  |
Ryan Quadri     |    Yale University - 2007     |    Observatories of the Carnegie Institute of Washington     |  2010  |
Beth Reid     |    Princeton University - 2008     |    Lawrence Berkeley National Laboratory     |  2010  |
Hilke Schlichting     |    California Institute of Technology - 2009     |    University of California, Los Angeles     |  2010  |
Debora Sijacki     |    MPA and LMU -  2007     |    Harvard College Observatory     |  2010  |
Matthew Walker     |    University of Michigan 2007     |    Harvard College Observatory     |  2010  |
Stephen Mark Ammons     |    University of California, Santa Cruz 2009     |    University of Arizona     |  2009  |
Misty Bentz     |    The Ohio State University - 2007     |    University of California, Irvine     |  2009  |
Tabetha Boyajian     |    Georgia State University - 2009     |    Georgia State University    |  2009  |
Kevin Covey     |    University of Washington 2006     |    Cornell University     |  2009  |
Kristian Finlator     |    University of Arizona 2009     |    University of California, Santa Barbara     |  2009  |
Mario Juric     |    Princeton  University - 2007     |    Harvard University     |  2009  |
Evan Kirby     |    University of California, Santa Cruz 2009     |    California Institute of Technology     |  2009  |
Adam Kraus     |    California Institute of Technology - 2009     |    University of Hawaii     |  2009  |
Adam Leroy     |    University of California, Berkeley - 2006    |    National Radio Astronomy Observatory     |  2009  |
Daniel Marrone     |    Harvard University - 2006     |    University of Chicago     |  2009  |
Karin Oberg     |    Leiden 2009     |    Smithsonian Astrophysical Observatory    |  2009  |
Jose Prieto     |    The Ohio State University - 2009     |    Observatories of the Carnegie Institute of Washington Pasadena     |  2009  |
Brant Robertson     |    Harvard University - 2006     |    California Institute of Technology     |  2009  |
Lisa Winter     |    University of Maryland 2008     |    University of Colorado Boulder     |  2009  |
John Wise     |    Stanford University - 2007     |    Princeton University     |  2009  |
Shelley Wright     |    University of California, Los Angeles 2008     |    University of California, Berkeley     |  2009  |
Joshua Younger     |    Harvard University - 2009     |    Princeton, Institute for Advanced Study     |  2009  |
Kevin A Bundy     |    California Institute of Technology - 2006     |    University of California, Berkeley     |  2008  |
Julio Chaname     |    The Ohio State University - 2005     |    Carnegie DTM     |  2008  |
Richard Cool     |    University of Arizona 2008     |    Princeton Unversity    |  2008  |
Elena Gallo     |    University of Amsterdam 2005     |    Massachusetts Institute of Technology     |  2008  |
Suvi Gezari     |    Columbia University - 2005     |    The Johns Hopkins University     |  2008  |
Brandon C. Kelly     |    University of Arizona 2008     |    Smithsonian Astrophysical Observatory     |  2008  |
David R. Law     |    California Institute of Technology - 2008     |    University of California, Los Angeles     |  2008  |
Andrei Mesinger     |    Columbia University - 2006     |    Princeton University     |  2008  |
Naveen Reddy     |    California Institute of Technology - 2006    |    National Optical Astronomy Observatory     |  2008  |
Emily L. Schaller     |    California Institute of Technology - 2008     |    University of Hawaii     |  2008  |
Louis E. Strigari     |    The Ohio State University - 2005     |    Stanford University     |  2008  |
Jong-Hak Woo     |    Yale University - 2005     |    University of California, Los Angeles     |  2008  |
Sean M Andrews     |     University of Hawaii - 2007     |    Smithsonian Astrophysical Observatory     |  2007  |
Beth A Biller     |    University of Arizona - 2007     |    University of Hawaii, Institute for Astronomy     |  2007  |
Judd D Bowman     |    Massachusetts Institute of Technology - 2007     |    California Institute of Technology     |  2007  |
Marusa Bradac     |    Bonn 2004     |    University of California, Santa Barbara     |  2007  |
David L A Kaplan     |    California Institute of Technology - 2004     |    Massachusetts Institute of Technology Kavli Institute     |  2007  |
Daniel N Kasen     |    University of California, Berkeley - 2004     |    University of California, Santa Cruz     |  2007  |
Ivo F L Labbe     |    Leiden 2004     |    Carnegie Observatories     |  2007  |
Mercedes Lopez-Morales     |    University of North Carolina, Chapel Hill - 2004     |    Carnegie DTM     |  2007  |
Jonathan R Pritchard     |    California Institute of Technology - 2007    |    Harvard University     |  2007  |
Dominik A Riechers     |    Heidelberg 2007     |    California Institute of Technology     |  2007  |
Alicia M Soderberg     |    California Institute of Technology - 2007     |    Princeton University     |  2007  |
Jay M Strader     |    University of California, Santa Cruz 2007     |    Harvard University     |  2007  |
Niccolo Bucciantini     |    Universita di Firenze 2004     |    University of California, Berkeley     |  2006  |
Jurg Diemand     |    University of Zurich 2004     |    University of California, Santa Cruz     |  2006  |
Eric Ford     |    Princeton University - 2003     |    Center for Astrophysics     |  2006  |
Jenny Greene     |    Harvard University - 2006     |    Princeton University     |  2006  |
Juna Kollmeier     |    The Ohio State University - 2006     |    Observatories of the Carnegie Institute of Washington     |  2006  |
Janice Lee     |    University of Arizona 2006     |    National Optical Astronomy Observatory     |  2006  |
Rachel Mandelbaum     |    Princeton University - 2006     |    Princeton, Institute for Advanced Study     |  2006  |
Nikhil Padmanabhan     |    Princeton University - 2005     |    Lawrence Berkeley National Laboratory     |  2006  |
Klaus Pontoppidan     |    Leiden 2004    |    California Institute of Technology     |  2006  |
Glenn van de Ven     |    Leiden 2005     |    Institute for Advanced Study     |  2006  |
Alison Coil     |    University of California, Berkeley - 2004     |    University of Arizona     |  2005  |
Jeremiah Darling     |    Cornell University - 2002     |    University of Colorado     |  2005  |
Michael Gladders     |    University of Toronto 2002     |    Carnegie Observatories     |  2005  |
Jasonjot Kalirai     |    University of British Columbia 2004     |    University of California, Santa Cruz     |  2005  |
Mark Krumholz     |    University of California, Berkeley - 2005     |    Princeton University    |  2005  |
Jeong-Eun Lee     |    University of Texas 2005     |    University of California, Los Angeles     |  2005  |
Milos Milosavljevic     |    Rutgers 2002     |    California Institute of Technology     |  2005  |
Rachel Osten     |    University of Colorado 2002     |    University of Washington     |  2005  |
Seth Redfield     |    University of Colorado 2003    |    University of Texas     |  2005  |
Kris Sigurdson     |    California Institute of Technology - 2005     |    Princeton, Institute for Advanced Study     |  2005  |
Christy Tremonti     |    The Johns Hopkins - 2003     |    University of Arizona    |  2005  |
Gaspar Bakos     |    Eotvos University - 2004     |    Smithsonian Astrophysical Observatory     |  2004  |
Edo Berger     |    California Institute of Technology - 2004     |    Carnegie Institute of Washington     |  2004  |
Joseph Hennawi     |    Princeton University - 2004     |    University of California, Berkeley     |  2004  |
Kelsey Johnson     |    University of Colorado 2001     |    University of Wisconsin - Madison     |  2004  |
Lisa Kewley     |    Australian National University - 2002     |    University of Hawaii     |  2004  |
Anjum Mukadam     |    University of Texas Austin 2004     |    University of Washington     |  2004  |
Masami Ouchi     |    University of Tokyo 2003     |    Space Telescope Science Institute     |  2004  |
Hiranya Peiris     |    Princeton University - 2003     |    University of Chicago     |  2004  |
Scott Sheppard     |    University of Hawaii 2004    |    Carnegie Institute of Washington     |  2004  |
Aristotle Socrates     |    University of California, Santa Barbara 2004     |    Princeton University     |  2004  |
Joshua Winn     |    Massachusetts Institute of Technology - 2001     |    Harvard College Observatory     |  2004  |
Zheng Zheng     |    The Ohio State University - 2004     |    Princeton, Institute for Advanced Study     |  2004  |
  Avishay Gal-Yam     |    Tel Aviv 2003     |    California Institute of Technology     |  2003  |
  Marla Geha     |    University of California, Santa Cruz 2003     |    Carnegie     |  2003  |
  Jason Harris     |    University of California, Santa Cruz 2000     |     University of Arizona     |  2003  |
  Wynn Ho     |    Cornell University - 2003     |    Stanford University     |  2003  |
  Marc Kuchner     |    California Institute of Technology - 2000     |    Princeton University     |  2003  |
  Darren Madgwick     |     University of Cambridge - 2002     |    Lawrence Berkeley National Laboratory     |  2003  |
  Michael Muno     |    Massachusetts Institute of Technology - 2003     |    University of California, Los Angles     |  2003  |
  Jeffrey Newman     |    University of California, Berkeley - 2000     |    Lawrence Berkeley National Laboratory     |  2003  |
  Nathan Smith     |    University of Minnesota 2002     |    University of Colorado     |  2003  |
  Tommaso Treu    |    Pisa/Space Telescope Science Institute 2001     |    University of California, Los Angles     |  2003  |
  Risa Wechsler     |    University of California, Santa Cruz 2001     |    University of Chicago     |  2003  |
  Qingjuan Yu     |    Princeton University - 2002     |    University of California, Berkeley     |  2003  |
  James Bullock    |    University of California, Santa Cruz 1999    |    Center for Astrophysics    |  2002  |
  Hsiao-Wen Chen    |    State University of New York, Stony Brook - 1999    |    Massachusetts Institute of Technology    |  2002  |
  Neal Dalal    |    University of California, San Diego 2002    |    Princeton, Institute for Advanced Study    |  2002  |
  Jarrod Hurley    |    Cambridge 2000    |    American Museum of Natural History    |  2002  |
  Robert Hynes    |    Open University - 1999    |    University of Texas    |  2002  |
  Inese Ivans    |    University of Texas - 2002    |    California Institute of Technology    |  2002  |
  Michael Liu    |    University of California, Berkeley - 2000    |    University of Hawaii    |  2002  |
  Lucas Macri    |    Harvard University - 2001    |    National Optical Astronomy Observatory    |  2002  |
  Robert Metcalf    |    University of California, Berkeley - 1999    |    University of California, Santa Cruz    |  2002  |
  Barbara Mochejska    |    Copernicus Center - 2002    |    Center for Astrophysics    |  2002  |
  Feryal Ozel    |    Harvard University - 2002    |    Princeton, Institute for Advanced Study    |  2002  |
  Todd Thompson    |    University of Arizona - 2002    |    University of California, Berkeley    |  2002  |
  Aaron Barth    |    University of California, Berkeley - 1998    |    California Institute of Technology    |  2001  |
  Elizabeth Barton    |    Harvard University - 1999    |    University of Arizona    |  2001  |
  Martin Bureau    |    Australian National University - 1999    |    Columbia University    |  2001  |
  Adam Burgasser    |    California Institute of Technology - 2001    |    University of California, Los Angeles    |  2001  |
  Andrew Cumming    |    University of California, Berkeley - 2000    |    University of California, Santa Cruz    |  2001  |
  Mario Hamuy    |    University of Arizona - 2001    |    Observatories of the Carnegie Institute of Washington    |  2001  |
  Andrew Hopkins    |    Sydney - 1998    |    University of Pittsburgh    |  2001  |
  Charles Keeton |    Harvard University - 1998    |    University of Chicago    |  2001  |
  Jason Prochaska    |    University of California, San Diego - 1998    |    Observatories of the Carnegie Institute of Washington    |  2001  |
  Constance Rockosi    |    University of Chicago - 2001    |    University of Washington    |  2001  |
  Keivan Stassun |    University of Wisconsin - 2000    |    University of Wisconsin    |  2001  |
  J. Stuart Wyithe    |    Melbourne 2001    |    Center for Astrophysics    |  2001  |
  Eugene Chiang    |    California Institute of Technology - 2000    |    Princeton, Institute for Advanced Study    |  2000  |
  Romeel Dave   |    University of California, Santa Cruz 1998    |    University of Arizona    |  2000  |
  Douglas Finkbeiner    |    University of California, Berkeley - 1999    |    University of California, Berkeley    |  2000  |
  B. Scott Gaudi    |    The Ohio State University - 2000    |    Princeton, Institute for Advanced Study    |  2000  |
  Amber Miller    |    Princeton University - 2000    |    University of Chicago    |  2000  |
  Mary Putman   |    Australian National University - 2000    |    University of Colorado    |  2000  |
  Daniel Reichart    |     University of Chicago - 2000    |    California Institute of Technology    |  2000  |
  Amy Barger    |    University of Cambridge - 1997    |    University of Hawaii    |  1999  |
  Daniel Eisenstein    |    Harvard University - 1996    |    University of Chicago    |  1999  |
  Zoltan Haiman    |    Harvard University - 1998    |    Princeton University     |  1999  |
  Brad Hansen    |    California Institute of Technology - 1996    |    Princeton University     |  1999  |
  Andrey Kravtsov    |    New Mexico State University - 1999    |    The Ohio State University    |  1999  |
  Ben Oppenheimer    |    California Institute of Technology - 1999    |    University of California, Berkeley    |  1999  |
  Eric Richards    |    University of Virginia - 1999    |    Arizona State University    |  1999  |
  Krzysztof Stanek    |    Princeton University - 1996    |    Center for Astrophysics    |  1999  |
  Scott Trager    |    University of California, Santa Cruz 1997    |    Observatories of the Carnegie Institute of Washington    |  1999  |
  Pieter van Dokkum    |    Groningen 1999    |    California Institute of Technology    |  1999  |
  Joanne C. Baker    |    Sydney - 1995    |    University of California, Berkeley    |  1998  |
  Greg Bryan    |    University of Illinois - 1996    |    Massachusetts Institute of Technology    |  1998  |
  Marcio Catelan    |    University of São Paulo 1996    |    Goddard Space Flight Center - University of Virginia (yrs 2-3)    |  1998  |
  Roelof de Jong    |    Groningen 1995    |    University of Arizona    |  1998  |
  Bryan Gaensler    |    Sydney - 1998    |    Massachusetts Institute of Technology    |  1998  |
  Eva K. Grebel    |    Bonn 1995    |    University of Washington    |  1998  |
  Christian Knigge    |    Oxford 1995    |    Columbia University     |  1998  |
  Huan Lin    |    Harvard University - 1995    |    University of Arizona    |  1998  |
  Sangeeta Malhotra    |    Princeton University - 1995    |    Kitt Peak National Observatory  The Johns Hopkins University |  1998  |
  Simon Portegies Zwart    |    Utrecht 1997    |    Boston University of - Massachusetts Institute of Technology |  1998  |
  Chris Reynolds    |    Cambridge 1996    |    University of Colorado, JILA    |  1998  |
  Gordon Squires    |    University of Toronto - 1995    |    California Institute of Technology    |  1998  |
  Jennifer Wiseman    |    Harvard University - 1995    |    The Johns Hopkins University     |  1998  |
  Matias Zaldarriaga    |    Massachusetts Institute of Technology - 1998    |    Princeton, Institute for Advanced Study    |  1998  |
  Rebecca A. Bernstein    |    California Institute of Technology - 1997    |    Observatories of the Carnegie Institute of Washington    |  1997  |
  Arjun Dey    |    University of California, Berkeley - 1994    | The Johns Hopkins University  Kitt Peak National Observatory (yr 2)    |  1997  |
