n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1965 | fa_1966 | fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1965 | all_1966 | all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Michaud, Georges | California Institute of Technology | 1970 | male | 3 | 51 | 2013 | 3 | 119 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 6 | 1 | 1 | 0 | 1 | 3 | 2 | 2 | 2 | 2 | 2 | 2 | 4 | 1 | 2 | 2 | 1 | 1 | 0 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 6 | 1 | 2 | 0 | 2 | 3 | 5 | 4 | 3 | 5 | 3 | 2 | 5 | 2 | 6 | 2 | 4 | 8 | 1 | 10 | 2 | 4 | 2 | 4 | 0 | 1 | 4 | 0 | 3 | 1 | 3 | 0 | 1 | 3 | 1 | 1 | 3 | 1 | 2 | 3 | 2 | 2 | 1 | 0 | 0 |
2 | Cleghorn, Timothy Fuller | UNIVERSITY OF MINNESOTA. | 1970 | male | 4 | 3 | 2004 | 4 | 32 | 2015 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 1 | 0 | 2 | 1 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 8 | 6 | 1 | 0 |
3 | Webber, John Clinton | California Institute of Technology | 1970 | male | 1 | 10 | 2002 | 1 | 32 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 3 | 0 | 3 | 1 | 1 | 3 | 3 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | O'Connell, Robert West | California Institute of Technology | 1970 | male | 1 | 27 | 2013 | 1 | 196 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 1 | 2 | 0 | 3 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 2 | 2 | 0 | 3 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 4 | 3 | 18 | 11 | 12 | 7 | 10 | 8 | 8 | 2 | 5 | 6 | 2 | 3 | 2 | 1 | 2 | 5 | 0 | 1 | 7 | 13 | 12 | 10 | 11 | 3 | 5 |
5 | Horan, Donald Martin | THE CATHOLIC UNIVERSITY OF AMERICA. | 1970 | male | 2 | 16 | 2009 | 2 | 220 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 19 | 8 | 5 | 6 | 4 | 11 | 25 | 39 | 13 | 15 | 10 | 6 | 12 | 17 |
6 | Andres, Richard Mattias | SAINT LOUIS UNIVERSITY. | 1970 | male | 1 | 0 | 1970 | 1 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
7 | Drake, Jerry Francis | THE UNIVERSITY OF IOWA. | 1970 | male | 1 | 30 | 2017 | 2 | 165 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 1 | 1 | 1 | 2 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 7 | 2 | 1 | 6 | 4 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 4 | 1 | 0 | 3 | 3 | 5 | 1 | 2 | 3 | 2 | 3 | 3 | 2 | 1 | 2 | 1 | 4 | 1 | 2 | 3 | 4 | 7 | 7 | 7 | 10 | 11 | 11 | 8 | 8 | 10 |
8 | Hurley, Kevin Christopher | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1970 | male | 1 | 100 | 2017 | 1 | 497 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 2 | 0 | 3 | 0 | 2 | 1 | 1 | 0 | 2 | 4 | 2 | 2 | 5 | 6 | 8 | 4 | 4 | 1 | 16 | 7 | 1 | 1 | 2 | 1 | 4 | 5 | 0 | 1 | 0 | 3 | 4 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 4 | 10 | 8 | 21 | 4 | 12 | 15 | 11 | 14 | 23 | 4 | 7 | 7 | 10 | 4 | 15 | 16 | 21 | 8 | 23 | 16 | 36 | 17 | 16 | 15 | 18 | 18 | 27 | 17 | 8 | 15 | 7 | 7 | 7 | 4 | 4 | 5 | 3 | 7 |
9 | Weiler, Kurt W. | California Institute of Technology | 1970 | male | 1 | 44 | 2011 | 4 | 149 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 3 | 2 | 0 | 5 | 1 | 0 | 2 | 0 | 1 | 2 | 0 | 2 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 0 | 2 | 4 | 1 | 1 | 2 | 3 | 4 | 4 | 3 | 2 | 7 | 8 | 2 | 3 | 4 | 2 | 4 | 0 | 2 | 2 | 7 | 3 | 4 | 4 | 8 | 1 | 3 | 6 | 3 | 2 | 9 | 3 | 5 | 5 | 2 | 2 | 4 | 4 | 0 | 5 | 0 | 5 | 4 | 2 | 0 | 0 | 0 |
10 | Dickinson, Bartlett Graves | UNIVERSITY OF KENTUCKY. | 1970 | male | 1 | 0 | 1970 | 1 | 2 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
