n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Aannestad, Per Arne | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1972 | male | 1 | 24 | 2003 | 3 | 30 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Stansberry, Kent Gardner | UNIVERSITY OF CALIFORNIA, RIVERSIDE. | 1972 | male | 1 | 2 | 1974 | 1 | 2 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Panggabean, Lolo Marangkup | MICHIGAN STATE UNIVERSITY. | 1972 | male | 1 | 0 | 1972 | 1 | 1 | 1974 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Manka, Robert Hall | RICE UNIVERSITY. | 1972 | male | 4 | 9 | 2001 | 4 | 19 | 2007 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Schutz, Bernard Frederick, Jr. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1972 | male | 2 | 32 | 2011 | 3 | 253 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 4 | 0 | 0 | 2 | 3 | 1 | 1 | 1 | 0 | 3 | 1 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 3 | 0 | 2 | 6 | 2 | 5 | 0 | 1 | 3 | 3 | 3 | 2 | 5 | 1 | 3 | 2 | 0 | 1 | 6 | 5 | 2 | 6 | 2 | 5 | 3 | 0 | 2 | 3 | 6 | 10 | 14 | 5 | 9 | 15 | 17 | 10 | 9 | 18 | 8 | 13 | 6 | 27 |
6 | Hu, Bei-Lok | PRINCETON UNIVERSITY. | 1972 | male | 2 | 49 | 2016 | 2 | 123 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 1 | 3 | 1 | 0 | 1 | 2 | 2 | 1 | 0 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 3 | 2 | 3 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 4 | 1 | 0 | 2 | 1 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 1 | 3 | 3 | 1 | 2 | 2 | 3 | 1 | 2 | 3 | 5 | 3 | 3 | 0 | 1 | 0 | 3 | 3 | 4 | 2 | 8 | 5 | 4 | 1 | 3 | 1 | 3 | 5 | 3 | 4 | 4 | 5 | 2 | 4 | 4 | 4 | 4 | 2 | 3 | 4 |
7 | Adelman, Saul J. | California Institute of Technology | 1972 | male | 3 | 197 | 2015 | 3 | 272 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 8 | 5 | 1 | 1 | 3 | 2 | 5 | 5 | 5 | 3 | 4 | 7 | 5 | 3 | 6 | 4 | 6 | 4 | 3 | 6 | 5 | 7 | 3 | 6 | 10 | 10 | 8 | 16 | 11 | 5 | 3 | 4 | 4 | 3 | 6 | 3 | 0 | 2 | 1 | 0 | 0 | 1 | 3 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 8 | 8 | 2 | 2 | 4 | 3 | 6 | 6 | 5 | 3 | 6 | 9 | 6 | 3 | 7 | 4 | 8 | 8 | 5 | 7 | 9 | 11 | 4 | 8 | 12 | 16 | 11 | 16 | 12 | 6 | 9 | 7 | 6 | 3 | 8 | 5 | 0 | 4 | 4 | 0 | 1 | 3 | 4 | 3 |
8 | Weaver, William Bruce | CASE WESTERN RESERVE UNIVERSITY. | 1972 | male | 1 | 5 | 1984 | 2 | 8 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Fulling, Stephen Albert | PRINCETON UNIVERSITY. | 1972 | male | 1 | 17 | 2015 | 1 | 31 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 2 | 6 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 1 |
10 | Myers, Philip Cherdak | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1972 | male | 2 | 55 | 2017 | 3 | 291 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 0 | 1 | 2 | 1 | 3 | 0 | 2 | 3 | 1 | 2 | 2 | 1 | 3 | 1 | 0 | 3 | 2 | 2 | 1 | 3 | 1 | 0 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 2 | 0 | 3 | 3 | 2 | 4 | 3 | 2 | 4 | 2 | 3 | 6 | 5 | 7 | 10 | 3 | 6 | 5 | 6 | 8 | 13 | 3 | 7 | 7 | 10 | 8 | 5 | 6 | 10 | 20 | 13 | 13 | 16 | 11 | 11 | 13 | 7 | 6 | 6 | 4 | 4 | 7 |
