n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Taff, Laurence Gordon | THE UNIVERSITY OF ROCHESTER. | 1973 | female | 7 | 38 | 1997 | 8 | 56 | 1998 | 0 | 0 | 0 | 1 | 2 | 4 | 2 | 3 | 1 | 2 | 0 | 0 | 1 | 1 | 3 | 0 | 2 | 2 | 1 | 1 | 4 | 2 | 5 | 1 | 3 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 4 | 2 | 3 | 1 | 2 | 0 | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 2 | 1 | 4 | 2 | 5 | 1 | 5 | 2 | 4 | 4 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Upson, Walter Lyman, II | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1973 | male | 1 | 1 | 1980 | 1 | 3 | 1982 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Johnson, Wiley Neil, III | RICE UNIVERSITY. | 1973 | male | 1 | 8 | 1997 | 1 | 233 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 4 | 4 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 7 | 7 | 20 | 18 | 10 | 7 | 2 | 2 | 4 | 4 | 2 | 2 | 2 | 4 | 0 | 1 | 35 | 55 | 12 | 4 | 5 | 5 | 4 | 0 |
4 | Yoder, Charles Finney | UNIVERSITY OF CALIFORNIA, SANTA BARBARA. | 1973 | male | 1 | 17 | 2003 | 1 | 33 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 4 | 1 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 4 | 2 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
5 | Zissell, Ronald Everett | UNIVERSITY OF VIRGINIA. | 1973 | male | 2 | 13 | 2008 | 2 | 19 | 2008 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Trauger, John Terry | THE UNIVERSITY OF WISCONSIN - MADISON. | 1973 | male | 4 | 14 | 2016 | 4 | 110 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 2 | 2 | 2 | 0 | 2 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 3 | 11 | 12 | 7 | 15 | 11 | 4 | 0 | 3 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 6 | 8 | 4 | 1 | 0 | 0 | 3 |
7 | Ulich, Bobby Lee | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1973 | male | 3 | 14 | 1985 | 3 | 31 | 1989 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 2 | 2 | 2 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 4 | 1 | 4 | 3 | 5 | 0 | 3 | 4 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Kawabata, Kiyoshi | THE PENNSYLVANIA STATE UNIVERSITY. | 1973 | male | 4 | 26 | 2016 | 9 | 108 | 2016 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1 |  1 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 3 | 1 | 0 | 2 | 0 | 2 | 3 | 2 | 3 | 2 | 0 | 1 | 2 | 3 | 3 | 2 | 1 | 1 | 0 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 6 | 6 | 5 | 5 | 7 | 2 | 3 | 4 | 2 | 7 | 9 |
9 | Nordsieck, Kenneth Hugh | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1973 | male | 6 | 2 | 1976 | 6 | 57 | 2017 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 1 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 2 | 4 | 4 | 3 | 1 | 1 | 2 | 5 | 2 | 3 | 0 | 0 | 1 | 3 | 2 | 0 | 2 | 3 | 2 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 |
10 | Jambor, Bruno Jean | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN. | 1973 | male | 2 | 0 | 1973 | 2 | 0 | 1973 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
