 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1968 |  fa_1969 |  fa_1970 |  fa_1971 |  fa_1972 |  fa_1973 |  fa_1974 |  fa_1975 |  fa_1976 |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1968 |  all_1969 |  all_1970 |  all_1971 |  all_1972 |  all_1973 |  all_1974 |  all_1975 |  all_1976 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 8 | Kawabata, Kiyoshi | THE PENNSYLVANIA STATE UNIVERSITY. | 1973 | male | 4 | 26 | 2016 | 9 | 108 | 2016 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 4 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 3 | 1 | 0 | 2 | 0 | 2 | 3 | 2 | 3 | 2 | 0 | 1 | 2 | 3 | 3 | 2 | 1 | 1 | 0 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 6 | 6 | 5 | 5 | 7 | 2 | 3 | 4 | 2 | 7 | 9 |
 12 | Cummings, Alan Coffman | California Institute of Technology | 1973 | male | 5 | 44 | 2016 | 5 | 231 | 2016 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 2 | 5 | 0 | 0 | 0 | 1 | 0 | 6 | 1 | 6 | 1 | 2 | 1 | 3 | 0 | 2 | 2 | 2 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 1 | 4 | 1 | 6 | 4 | 6 | 1 | 1 | 1 | 3 | 1 | 14 | 1 | 13 | 6 | 9 | 5 | 9 | 2 | 36 | 5 | 19 | 1 | 19 | 5 | 10 | 18 | 5 | 6 | 2 | 2 | 4 | 0 | 4 | 2 |
 14 | Press, William H. | California Institute of Technology | 1973 | male | 10 | 39 | 1998 | 12 | 76 | 1998 | 0 | 0 | 0 | 1 | 3 | 6 | 2 | 2 | 4 | 2 | 2 | 2 | 4 | 3 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 3 | 1 | 0 | 2 | 4 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 6 | 3 | 3 | 6 | 3 | 5 | 3 | 5 | 3 | 1 | 3 | 0 | 3 | 3 | 3 | 2 | 6 | 4 | 4 | 4 | 4 | 0 | 4 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 18 | Shields, Gregory Alan | California Institute of Technology | 1973 | male | 2 | 44 | 2013 | 3 | 111 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 3 | 1 | 8 | 1 | 1 | 1 | 1 | 3 | 0 | 0 | 3 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 4 | 5 | 3 | 10 | 3 | 2 | 4 | 3 | 6 | 2 | 1 | 5 | 2 | 2 | 2 | 3 | 3 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 1 | 5 | 3 | 4 | 6 | 3 | 2 | 4 | 5 | 0 | 2 | 0 |
 20 | Wright, William Edwin | California Institute of Technology | 1973 | male | 1 | 1 | 2001 | 1 | 3 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 22 | Greisen, Eric Winslow | California Institute of Technology | 1973 | male | 3 | 10 | 2009 | 4 | 28 | 2009 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 1 | 3 | 0 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 23 | Mallett, Ronald Lawrence | THE PENNSYLVANIA STATE UNIVERSITY. | 1973 | male | 1 | 8 | 1995 | 1 | 18 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 4 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 29 | Rajan, Sundar Ramakrishnan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1973 | male | 1 | 1 | 1983 | 1 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
 31 | Cunningham, Christopher Thomas | UNIVERSITY OF WASHINGTON. | 1973 | male | 4 | 25 | 2012 | 4 | 52 | 2012 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 3 | 5 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | 2 | 0 | 7 | 3 | 2 | 1 | 3 | 3 | 5 | 2 | 3 | 2 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
 32 | Degregoria, Anthony Joseph | COLUMBIA UNIVERSITY. | 1973 | male | 3 | 3 | 1980 | 3 | 3 | 1980 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
