n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Wiedenbeck, M. E. | California Institute of Technology, Pasadena. | 1977 | None | 1 | 36 | 2013 | 1 | 170 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 3 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 0 | 1 | 1 | 3 | 0 | 2 | 0 | 2 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 3 | 4 | 1 | 7 | 1 | 3 | 0 | 5 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 3 | 0 | 7 | 2 | 6 | 1 | 31 | 3 | 13 | 1 | 13 | 2 | 8 | 18 | 7 | 6 | 0 | 2 | 4 | 3 | 2 | 5 |
2 | Chatham, R. E. | State University of New York, Stony Brook. | 1977 | None | 1 | 0 | 1977 | 1 | 0 | 1977 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Richardson, D. L. | Cornell Univ., Ithaca, NY. | 1977 | None | 1 | 10 | 2004 | 3 | 17 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Decoster, Richard Joseph, II | THE UNIVERSITY OF IOWA. | 1977 | male | 2 | 0 | 1977 | 2 | 4 | 1981 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Frey, H. | National Aeronautics and Space Administration. Goddard Space Flight Center, Greenbelt, MD. | 1977 | None | 6 | 46 | 2016 | 7 | 285 | 2017 | 0 | 0 | 1 | 1 | 0 | 4 | 0 | 4 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 5 | 1 | 4 | 2 | 1 | 2 | 3 | 4 | 3 | 1 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 1 | 1 | 1 | 0 | 4 | 0 | 4 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 5 | 2 | 0 | 0 | 1 | 2 | 5 | 2 | 8 | 6 | 7 | 10 | 17 | 30 | 11 | 25 | 13 | 12 | 27 | 18 | 17 | 7 | 11 | 12 | 10 | 6 | 9 |
6 | Rose, L. A. | Minnesota Univ., Minneapolis. | 1977 | None | 1 | 1 | 1979 | 1 | 2 | 1980 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
7 | Limaye, S. S. | Wisconsin Univ., Madison. | 1977 | None | 3 | 18 | 2017 | 5 | 54 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 5 | 0 | 2 | 2 | 2 | 3 | 0 | 1 | 3 | 2 | 1 | 2 | 2 | 1 | 3 | 1 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 5 | 0 | 1 | 0 | 0 | 1 | 4 | 0 | 2 | 0 | 1 | 4 | 2 | 1 | 1 | 0 |
8 | Mosher, James Marshall | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1977 | male | 2 | 4 | 2014 | 2 | 11 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 |
9 | Olson, Gordon Lee | THE UNIVERSITY OF WISCONSIN - MADISON. | 1977 | male | 2 | 8 | 2000 | 2 | 18 | 2000 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 4 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Pizzo, Victor John | UNIVERSITY OF COLORADO AT BOULDER. | 1977 | male | 2 | 21 | 2005 | 7 | 60 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 2 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 4 | 7 | 4 | 1 | 1 | 1 | 6 | 1 | 1 | 3 | 0 | 2 | 4 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |
