 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1975 |  fa_1976 |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1975 |  all_1976 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 17 | Meyer, Stephen S. | PRINCETON UNIVERSITY. | 1980 | male | 2 | 1 | 1983 | 3 | 134 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 5 | 0 | 5 | 2 | 3 | 5 | 0 | 0 | 1 | 1 | 0 | 17 | 2 | 1 | 1 | 4 | 1 | 8 | 7 | 14 | 10 | 16 | 9 | 9 | 5 |
 19 | Kandrup, Henry Emil | THE UNIVERSITY OF CHICAGO. | 1980 | male | 2 | 102 | 2005 | 3 | 126 | 2005 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 6 | 6 | 3 | 6 | 2 | 8 | 8 | 6 | 6 | 4 | 5 | 7 | 5 | 0 | 3 | 7 | 1 | 1 | 2 | 3 | 5 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 2 | 6 | 6 | 4 | 7 | 3 | 8 | 9 | 6 | 6 | 5 | 5 | 8 | 7 | 3 | 5 | 11 | 2 | 2 | 2 | 4 | 6 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 21 | Clark, Robert Edward Holmes | THE PENNSYLVANIA STATE UNIVERSITY. | 1980 | male | 3 | 9 | 1997 | 8 | 45 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 5 | 2 | 4 | 3 | 2 | 3 | 3 | 2 | 0 | 2 | 1 | 2 | 0 | 2 | 1 | 0 | 1 | 4 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 28 | Hoessel, John Greg | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1980 | male | 5 | 14 | 1998 | 8 | 134 | 2009 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 3 | 1 | 3 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 4 | 1 | 1 | 5 | 1 | 3 | 3 | 4 | 3 | 4 | 3 | 4 | 2 | 0 | 8 | 7 | 19 | 11 | 26 | 17 | 4 | 1 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 37 | Romanishin, William | THE UNIVERSITY OF ARIZONA. | 1980 | male | 2 | 23 | 2013 | 10 | 66 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 2 | 2 | 1 | 2 | 2 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 4 | 3 | 2 | 4 | 2 | 3 | 3 | 5 | 2 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 4 | 2 | 5 | 2 | 1 | 1 | 2 | 1 | 3 | 0 | 3 | 0 | 2 | 3 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 1 |
 42 | Zimmermann, Mark Edward | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1980 | male | 4 | 0 | 1980 | 6 | 3 | 2004 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 47 | Caudell, Thomas Preston | THE UNIVERSITY OF ARIZONA. | 1980 | male | 3 | 0 | 1980 | 10 | 2 | 1985 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 4 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 50 | Boroson, Todd Allan | THE UNIVERSITY OF ARIZONA. | 1980 | male | 2 | 25 | 2011 | 12 | 80 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 1 | 0 | 2 | 0 | 2 | 1 | 2 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 3 | 2 | 3 | 3 | 3 | 2 | 3 | 2 | 1 | 7 | 3 | 4 | 4 | 5 | 2 | 1 | 1 | 3 | 0 | 1 | 2 | 2 | 3 | 1 | 2 | 2 | 1 | 0 | 0 | 2 | 2 | 1 | 4 | 1 | 0 | 2 | 2 |
 56 | Kahn, Steven Michael | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1980 | male | 4 | 14 | 2002 | 9 | 165 | 2015 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 1 | 3 | 1 | 1 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 4 | 3 | 2 | 3 | 4 | 10 | 9 | 7 | 1 | 4 | 3 | 4 | 4 | 1 | 2 | 2 | 2 | 2 | 4 | 3 | 6 | 4 | 20 | 15 | 13 | 10 | 5 | 7 | 6 | 4 | 1 | 0 | 0 | 2 | 3 | 0 | 2 | 0 |
 59 | Toy, Larry Gene-Shiao | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1980 | male | 1 | 0 | 1980 | 1 | 0 | 1980 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
