 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1977 |  fa_1978 |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1977 |  all_1978 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 6 | Cimino, Josephine Beatrice | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1982 | female | 3 | 0 | 1982 | 4 | 0 | 1982 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 14 | Sebok, William Lawrence | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1982 | male | 3 | 1 | 1986 | 3 | 1 | 1986 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 30 | Schneider, Donald P. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1982 | male | 8 | 35 | 2010 | 21 | 938 | 2017 | 0 | 1 | 2 | 2 | 1 | 2 | 2 | 0 | 1 | 2 | 1 | 2 | 2 | 0 | 3 | 3 | 3 | 2 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 3 | 3 | 5 | 4 | 3 | 1 | 7 | 10 | 6 | 5 | 5 | 2 | 9 | 14 | 13 | 12 | 9 | 10 | 6 | 11 | 9 | 22 | 35 | 33 | 57 | 51 | 48 | 70 | 44 | 49 | 33 | 40 | 46 | 51 | 54 | 48 | 52 | 51 |
 32 | Tomandl, Daniel Anthony | UNIVERSITY OF WASHINGTON. | 1982 | male | 2 | 0 | 1982 | 4 | 0 | 1982 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 38 | Lissauer, Jack Jonathan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1982 | male | 4 | 48 | 2014 | 6 | 210 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 3 | 4 | 1 | 1 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 3 | 2 | 4 | 2 | 3 | 3 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 2 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 2 | 3 | 8 | 3 | 1 | 2 | 2 | 2 | 4 | 4 | 2 | 3 | 4 | 5 | 8 | 6 | 5 | 6 | 6 | 7 | 5 | 4 | 6 | 6 | 5 | 2 | 6 | 15 | 20 | 18 | 15 | 10 | 5 | 8 |
 39 | McGlynn, Thomas Aquinas | PRINCETON UNIVERSITY. | 1982 | male | 2 | 10 | 2004 | 3 | 19 | 2015 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 2 | 3 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
 40 | Reichert, Gail Anne | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1982 | female | 3 | 6 | 1994 | 9 | 32 | 2001 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 4 | 3 | 2 | 0 | 1 | 1 | 0 | 3 | 0 | 1 | 1 | 2 | 1 | 2 | 4 | 6 | 4 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 51 | Balzano, Vicki Ann | THE PENNSYLVANIA STATE UNIVERSITY. | 1982 | female | 3 | 1 | 1983 | 5 | 3 | 1998 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 52 | Camejo, Humberto Campins | THE UNIVERSITY OF ARIZONA. | 1982 | male | 1 | 0 | 1982 | 1 | 0 | 1982 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 55 | Keel, William Clifford | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1982 | male | 7 | 55 | 2017 | 12 | 165 | 2017 | 0 | 1 | 0 | 1 | 0 | 5 | 5 | 2 | 5 | 1 | 1 | 5 | 1 | 1 | 3 | 1 | 3 | 1 | 2 | 3 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 3 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 2 | 6 | 7 | 4 | 6 | 3 | 5 | 6 | 4 | 5 | 5 | 6 | 7 | 6 | 7 | 8 | 3 | 5 | 4 | 4 | 3 | 4 | 4 | 5 | 5 | 4 | 2 | 1 | 5 | 5 | 2 | 9 | 7 | 5 | 2 | 5 |
