 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1979 |  fa_1980 |  fa_1981 |  fa_1982 |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1979 |  all_1980 |  all_1981 |  all_1982 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 7 | Kulkarni, Shrinivas Ramchandra | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 | male | 3 | 41 | 2014 | 10 | 499 | 2017 | 0 | 1 | 0 | 1 | 0 | 1 | 3 | 3 | 0 | 6 | 1 | 2 | 4 | 3 | 4 | 1 | 1 | 0 | 1 | 4 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 3 | 4 | 1 | 3 | 5 | 2 | 16 | 8 | 8 | 11 | 10 | 11 | 10 | 15 | 8 | 17 | 21 | 19 | 15 | 19 | 17 | 25 | 16 | 17 | 22 | 14 | 11 | 11 | 17 | 27 | 23 | 21 | 28 | 20 | 21 |
 8 | Landsman, Wayne Brian | THE JOHNS HOPKINS UNIVERSITY. | 1984 | male | 2 | 13 | 1998 | 3 | 99 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 3 | 2 | 0 | 0 | 0 | 3 | 9 | 5 | 3 | 3 | 3 | 7 | 5 | 4 | 5 | 6 | 2 | 2 | 6 | 3 | 4 | 3 | 2 | 3 | 3 | 7 | 2 | 2 | 0 | 1 | 0 |
 13 | Vilas, Faith | THE UNIVERSITY OF ARIZONA. | 1984 | female | 2 | 111 | 2016 | 3 | 172 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 3 | 1 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 85 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 5 | 6 | 2 | 1 | 2 | 2 | 0 | 1 | 3 | 3 | 1 | 3 | 2 | 1 | 2 | 3 | 2 | 2 | 3 | 2 | 3 | 88 | 4 | 8 | 2 | 4 | 1 | 2 | 3 | 3 | 4 | 4 |
 19 | Logan, Jerry David | THE UNIVERSITY OF ARIZONA. | 1984 | male | 3 | 0 | 1984 | 6 | 18 | 2008 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 6 | 7 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 20 | Skinner, T. E. | Johns Hopkins Univ., Baltimore, MD. | 1984 | None | 3 | 2 | 1988 | 4 | 9 | 1990 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 21 | Turner, Jean Lewin | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 | male | 3 | 14 | 2015 | 4 | 86 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 4 | 0 | 1 | 4 | 1 | 1 | 4 | 2 | 0 | 2 | 2 | 2 | 1 | 6 | 6 | 5 | 1 | 3 | 3 | 1 | 5 | 4 | 2 | 3 | 2 | 4 | 5 | 2 | 6 | 2 |
 24 | Friedman, Scott David | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 | male | 2 | 6 | 2011 | 6 | 71 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 2 | 1 | 1 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 10 | 8 | 12 | 5 | 4 | 2 | 4 | 1 | 3 | 3 | 1 | 3 | 0 | 2 | 0 | 3 | 0 |
 25 | Pisarski, R. L. | Columbia Univ., New York, NY. | 1984 | None | 2 | 0 | 1984 | 3 | 1 | 1997 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 26 | Schwartz, Richard Alan | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1984 | male | 2 | 7 | 2015 | 6 | 88 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 3 | 1 | 1 | 3 | 0 | 2 | 2 | 1 | 1 | 3 | 3 | 7 | 6 | 3 | 2 | 1 | 1 | 2 | 9 | 17 | 2 | 4 | 3 | 1 | 2 | 3 | 0 | 0 | 3 | 2 | 1 | 2 | 0 |
 27 | Tramiel, Leonard Jacob | COLUMBIA UNIVERSITY. | 1984 | male | 2 | 0 | 1984 | 3 | 0 | 1984 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
