n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Dingus, Brenda Lynn | Los Alamos National Lab., NM. | 1988 | female | 6 | 7 | 2005 | 6 | 138 | 2017 | 0 | 0 | 0 | 0 | 0 | 6 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 6 | 0 | 2 | 6 | 2 | 11 | 7 | 15 | 16 | 11 | 3 | 5 | 4 | 1 | 0 | 6 | 5 | 6 | 0 | 4 | 6 | 8 | 4 | 1 | 4 | 2 | 4 | 3 | 1 |
2 | Hinshaw, Gary Freeman | Harvard University, Cambridge, MA. | 1988 | male | 5 | 10 | 2013 | 5 | 96 | 2016 | 2 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  2 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 5 | 2 | 10 | 4 | 12 | 3 | 1 | 1 | 2 | 2 | 1 | 16 | 1 | 0 | 1 | 5 | 1 | 8 | 0 | 7 | 0 | 4 | 4 | 4 | 2 |
3 | Grimm, Robert E. | Massachusetts Institute of Technology, Cambridge. | 1988 | male | 6 | 22 | 2017 | 7 | 62 | 2017 | 0 | 0 | 2 | 1 | 1 | 2 | 3 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 2 | 1 | 1 | 1 | 0 |  0 | 0 | 2 | 1 | 1 | 3 | 3 | 2 | 3 | 5 | 2 | 4 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 3 | 2 | 1 | 1 | 6 | 2 | 1 | 4 | 1 | 3 | 4 | 1 | 2 | 2 | 1 |
4 | Pontius, Duane Henry, Jr. | RICE UNIVERSITY. | 1988 | male | 1 | 8 | 2009 | 1 | 19 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 3 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Lienhard, John Henry, V. | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1988 | male | 1 | 0 | 1988 | 1 | 0 | 1988 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Guzik, Joyce Ann | IOWA STATE UNIVERSITY. | 1988 | female | 3 | 22 | 2016 | 3 | 75 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 3 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 2 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 3 | 0 | 2 | 3 | 3 | 1 | 3 | 5 | 3 | 2 | 5 | 1 | 2 | 1 | 0 | 1 | 2 | 7 | 7 | 3 | 5 | 2 | 3 | 7 |
7 | Lesser, Michael Patrick | THE UNIVERSITY OF ARIZONA. | 1988 | male | 3 | 2 | 2015 | 5 | 38 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 4 | 8 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 8 | 3 |
8 | Murison, Marc Allen | THE UNIVERSITY OF WISCONSIN - MADISON. | 1988 | male | 3 | 4 | 1994 | 5 | 10 | 2015 | 0 | 0 | 1 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 3 | 3 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |
9 | Wu, Ying-Cheng | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1988 | female | 1 | 19 | 2016 | 1 | 76 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 4 | 4 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 5 | 4 | 1 | 1 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | 1 | 2 | 2 | 3 | 3 | 3 | 4 | 3 | 6 | 0 | 2 | 13 | 6 | 7 |
10 | Aghanajafi, Cyrus | THE UNIVERSITY OF TENNESSEE. | 1988 | male | 1 | 0 | 1988 | 1 | 0 | 1988 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
