 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1983 |  fa_1984 |  fa_1985 |  fa_1986 |  fa_1987 |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1983 |  all_1984 |  all_1985 |  all_1986 |  all_1987 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 7 | Lesser, Michael Patrick | THE UNIVERSITY OF ARIZONA. | 1988 | male | 3 | 2 | 2015 | 5 | 38 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 4 | 8 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 8 | 3 |
 25 | Towe, Joe Patrick | THE UNIVERSITY OF ARIZONA. | 1988 | male | 1 | 1 | 2008 | 1 | 1 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 26 | Dodelson, Scott | COLUMBIA UNIVERSITY. | 1988 | male | 2 | 50 | 2015 | 2 | 144 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 3 | 1 | 6 | 3 | 2 | 2 | 0 | 0 | 3 | 0 | 2 | 2 | 3 | 2 | 4 | 0 | 2 | 4 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 4 | 2 | 3 | 2 | 6 | 3 | 3 | 4 | 2 | 3 | 7 | 0 | 9 | 7 | 7 | 5 | 5 | 5 | 3 | 6 | 5 | 5 | 8 | 5 | 5 | 11 | 10 |
 27 | McCarthy, Patrick Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 | male | 6 | 21 | 2009 | 17 | 183 | 2017 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 2 | 3 | 2 | 3 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 7 | 6 | 6 | 4 | 3 | 2 | 5 | 1 | 5 | 3 | 5 | 8 | 9 | 5 | 5 | 9 | 5 | 9 | 9 | 8 | 8 | 1 | 11 | 11 | 18 | 9 | 7 | 10 | 2 | 4 |
 35 | Jones, Thomas David | THE UNIVERSITY OF ARIZONA. | 1988 | male | 5 | 7 | 2016 | 6 | 39 | 2016 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 5 | 3 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 2 | 4 | 0 | 4 | 0 | 2 | 1 | 0 | 2 | 2 | 1 |
 40 | Elston, Richard Joseph | THE UNIVERSITY OF ARIZONA. | 1988 | male | 4 | 9 | 2006 | 15 | 63 | 2013 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 4 | 1 | 2 | 4 | 3 | 2 | 4 | 4 | 3 | 6 | 2 | 7 | 2 | 1 | 5 | 4 | 3 | 4 | 2 | 0 | 3 | 6 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 45 | Veeraraghavan, Shoba | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1988 | female | 2 | 2 | 1992 | 3 | 7 | 1996 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 51 | Iredell, Mark Douglas | UNIVERSITY OF WASHINGTON. | 1988 | male | 2 | 0 | 1988 | 2 | 7 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 0 |
 53 | Pogge, Richard William | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1988 | male | 6 | 14 | 2002 | 10 | 266 | 2017 | 0 | 0 | 0 | 0 | 1 | 5 | 3 | 0 | 0 | 3 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 5 | 4 | 2 | 5 | 5 | 5 | 6 | 9 | 5 | 6 | 3 | 6 | 6 | 8 | 13 | 5 | 12 | 7 | 10 | 9 | 8 | 15 | 8 | 9 | 17 | 22 | 12 | 19 | 19 |
 58 | Hatzes, Artie Peter | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1988 | male | 3 | 57 | 2016 | 5 | 232 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 4 | 1 | 2 | 3 | 3 | 4 | 2 | 8 | 2 | 2 | 0 | 1 | 2 | 1 | 3 | 1 | 2 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 2 | 3 | 0 | 1 | 0 | 0 | 2 | 2 | 2 | 1 | 7 | 1 | 2 | 4 | 4 | 5 | 6 | 11 | 8 | 5 | 2 | 4 | 6 | 11 | 10 | 11 | 7 | 12 | 18 | 23 | 11 | 15 | 7 | 13 | 7 | 13 |
