non-USA|2019|King’s College London, University of London, London WC2R 2LS, UK|0|Sakellariadou, Maria|Sakellariadou, M.
non-USA|2017|Department of Electrical and Electronic Engineering, Stellenbosch University, 7600, Stellenbosch, South Africa|0|Young, Albert Raymond|Young, A.
non-USA|2019|Key Laboratory of Lunar and Deep Space Exploration, National Astronomical Observatories, Chinese Academy of Sciences, Beijing, China|0|Xu, Rui-Ming|Tan, Xu
USA|2019|The Johns Hopkins University Applied Physics Laboratory, 11101 Johns Hopkins Road, Laurel, MD 20723, USA|0|Brown, Lawrence E.|Brown, L. E.
non-USA|2014|LOLS, Faculty of Sciences, Univ. of Lisbon, Estrada do Paco do Lumiar 22, 1649-038 Lisbon, Portugal|1|Oliveira, Amauri Pereira De.|Oliveira, A.
USA|2019|Department of Earth, Ocean and Atmospheric Sciences, Florida State University, 1017 Academic Way, Tallahassee, FL, USA|0|Cai, Ming|Cai, Ming
USA|2019|Department of Physics, Penn State University, University Park, PA 16802, USA|0|Anderson, Todd Joseph|Anderson, T.
USA|2019|Fermi National Accelerator Laboratory, PO Box 500, Batavia, IL 60510, USA|0|Zhang, Yuanchong|Zhang, Y.
USA|2015|Lawrence Livermore National Laboratory, Livermore, CA 94550, USA|0|Hagmann, Christian Alexaner|Hagmann, C.
USA|2019|Steward Observatory, University of Arizona, 933 N. Cherry Avenue, Tucson, AZ 85721, USA|0|Jannuzi, Buell Tomasson|Jannuzi, Buell T.
USA|2018|Planetary Science Institute, Tucson, AZ 85719, USA|0|Kargel, Jeffrey Stuart|Kargel, Jeffrey S.
USA|2019|CODEP, Earth Sciences, University of California, Santa Cruz, CA, USA|0|Korycansky, Donald George|Korycansky, D. G.
USA|2016|Department of Physics, The University of Michigan, Ann Arbor, Michigan, USA|0|Levin, Daniel S.|Levin, D.
non-USA|2019|AIM, CEA, CNRS, Université Paris-Saclay, Université Paris Diderot, Sorbonne Paris Cité, 91191, Gif-sur-Yvette, France|0|Madden, Suzanne C.|Madden, S. C.
non-USA|2018|Institute of Space Physics, Luoyang Normal University, Luoyang, China; CAS Key Laboratory of Solar Activity, National Astronomical Observatories, Beijing, China|0|Zhao, Alex Xiaoxin|Zhao, G. Q.
non-USA|2019|NASA Ames Research Center, Moffett Field, CA, United States|0|Moore, Jeffrey Morgan|Moore, Jeffrey M.
USA|2015|The Johns Hopkins University Applied Physics Laboratory, Laurel, MD 20723, USA|0|Bazell, David|Bazell, David
non-USA|2019|Institute of Astronomy, National Central University, 300 Jhongda Road, Jhongli 32054, Taiwan, R.O.C.|0|Chen, Wenping|Chen, W. -P.
non-USA|2019|School of Physics &amp; Astronomy, University of Nottingham, University Park, Nottingham NG7 2RD, UK|0|Merrifield, Michael Ralph|Merrifield, Michael
USA|2019|Department of Earth and Environment, Boston University, Boston, MA USA|0|Smith, Ian Andrew|Smith, Ian A.
-|2017|-|4|Herbst, Thomas Michael|Herbst, T.
USA|2019|Department of Physics and Astronomy, Appalachian State University, 525 Rivers Street, Boone, NC 28608 USA ; ;;|0|Briley, Michael Marshall, Jr.|Briley, Michael M.
USA|2019|Western Kentucky University, Department of Physics and Astronomy, 1906 College Heights Blvd., Bowling Green, KY 42101, USA|0|Carini, Michael Thomas|Carini, Michael
USA|2019|Department of Astronomy, Indiana University, 727 E 3rd Street, Bloomington, IN 47405-7105, USA|0|Deliyannis, Constantine Plato|Deliyannis, Constantine P.
USA|2017|Department of Physics and Astronomy, University of Iowa, Iowa City, IA 52242, USA|0|Gayley, Kenneth Grier|Gayley, Kenneth G.
