n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Kung, Jong Hyun | BROWN UNIVERSITY. | 1992 | male | 3 | 5 | 2000 | 4 | 5 | 2000 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Worthey, Guy | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1992 | male | 2 | 20 | 2015 | 2 | 61 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 5 | 2 | 3 | 4 | 3 | 4 | 2 | 3 | 0 | 1 | 2 | 5 | 4 | 0 | 5 | 1 | 3 | 4 | 3 | 0 | 1 | 3 | 2 | 0 |
3 | Biller, Steven Douglas | UNIVERSITY OF CALIFORNIA, IRVINE. | 1992 | male | 2 | 14 | 2015 | 18 | 87 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 5 | 1 | 0 | 2 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 8 | 8 | 2 | 15 | 2 | 22 | 6 | 6 | 8 | 7 | 1 | 1 | 3 | 1 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 0 | 2 | 1 | 1 | 0 |
4 | Clements, Sandra Denise | UNIVERSITY OF FLORIDA. | 1992 | female | 1 | 3 | 2003 | 9 | 8 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 0 | 1 | 3 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
5 | Ressler, Michael Elvin | UNIVERSITY OF HAWAII. | 1992 | male | 2 | 6 | 2015 | 5 | 56 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 4 | 2 | 4 | 5 | 4 | 3 | 2 | 3 | 3 | 1 | 1 | 0 | 2 | 3 | 1 | 1 | 1 | 7 | 4 |
6 | Mihos, James Christopher | THE UNIVERSITY OF MICHIGAN. | 1992 | male | 3 | 23 | 2017 | 3 | 73 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 5 | 2 | 1 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 1 | 5 | 4 | 3 | 2 | 2 | 2 | 0 | 3 | 2 | 2 | 6 | 1 | 1 | 1 | 2 | 7 | 2 | 3 | 5 | 3 | 3 | 5 | 3 |
7 | Nichols, Robert Hill, Jr. | WASHINGTON UNIVERSITY. | 1992 | male | 1 | 0 | 1992 | 3 | 3 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Piché, François | Department of Physics and Astronomy, University of Rochester, Rochester, NY, 14607, USA; | 1992 | male | 1 | 1 | 1994 | 5 | 4 | 1995 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Hale, Alan | New Mexico State University, University Park. | 1992 | male | 1 | 11 | 2013 | 1 | 16 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 0 |
10 | Giroux, Mark Laird | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1992 | male | 1 | 4 | 1997 | 2 | 38 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 2 | 2 | 2 | 5 | 0 | 3 | 4 | 2 | 1 | 3 | 2 | 2 | 3 | 0 | 0 | 0 | 2 | 0 | 0 |
11 | Hofstadter, Mark David | California Institute of Technology, Pasadena. | 1992 | male | 4 | 2 | 2003 | 4 | 21 | 2017 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 5 | 1 |
12 | Lufkin, Eric Andrew | UNIVERSITY OF VIRGINIA. | 1992 | male | 1 | 3 | 2000 | 2 | 4 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Nice, David John | PRINCETON UNIVERSITY. | 1992 | male | 3 | 10 | 2013 | 7 | 71 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 4 | 4 | 3 | 4 | 7 | 2 | 1 | 2 | 3 | 1 | 2 | 0 | 1 | 3 | 5 | 0 | 3 | 1 | 6 | 3 | 3 | 2 | 2 | 4 | 8 |
14 | Peng, Wei | Rice Univ., Houston, TX. | 1992 | male | 4 | 0 | 1992 | 4 | 7 | 2015 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 |
15 | Haissig, Christine Marie | Princeton Univ., NJ. | 1992 | female | 1 | 0 | 1992 | 1 | 0 | 1992 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
16 | Ronan, Robert Stephen | UNIVERSITY OF HAWAII. | 1992 | male | 4 | 2 | 1994 | 4 | 3 | 1995 | 1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
17 | Sembach, Kenneth Russell | Wisconsin Univ., Madison. | 1992 | male | 3 | 25 | 2004 | 9 | 165 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 4 | 4 | 3 | 1 | 0 | 2 | 2 | 2 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 4 | 3 | 3 | 8 | 7 | 6 | 6 | 3 | 11 | 18 | 20 | 19 | 16 | 6 | 6 | 6 | 5 | 4 | 1 | 4 | 6 | 3 | 4 | 1 | 0 | 1 |
