 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1988 |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1988 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 2 | Bell, Katherine Robbins | California Univ., Santa Cruz, CA. | 1993 | female | 2 | 8 | 2000 | 3 | 14 | 2008 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 4 | 1 | 2 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 6 | Quillen, Alice C. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | female | 3 | 58 | 2017 | 5 | 132 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 4 | 1 | 3 | 2 | 4 | 3 | 3 | 4 | 3 | 1 | 3 | 6 | 2 | 3 | 2 | 1 | 3 | 1 | 1 | 3 | 1 | 2 | 0 | 1 | 0 | 0 | 2 | 2 | 2 | 4 | 1 | 5 | 2 | 6 | 6 | 5 | 5 | 7 | 3 | 5 | 15 | 8 | 8 | 7 | 5 | 5 | 6 | 3 | 8 | 6 | 8 |
 7 | Santee, Michelle | California Institute of Technology, Pasadena. | 1993 | female | 3 | 6 | 2005 | 4 | 26 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 4 | 3 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 4 | 1 |
 8 | Tinney, Christopher Geoffrey | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | male | 7 | 24 | 2014 | 10 | 160 | 2017 | 0 | 0 | 1 | 0 | 1 | 5 | 0 | 3 | 1 | 2 | 3 | 3 | 0 | 1 | 2 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 5 | 1 | 4 | 1 | 4 | 6 | 4 | 2 | 4 | 8 | 8 | 4 | 7 | 9 | 7 | 7 | 7 | 9 | 11 | 11 | 13 | 8 | 6 | 14 |
 12 | Vancura, Olaf | THE JOHNS HOPKINS UNIVERSITY. | 1993 | male | 4 | 2 | 1995 | 16 | 6 | 1997 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 8 | 5 | 3 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 20 | Looper, Mark Dixon | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | male | 1 | 6 | 2005 | 2 | 57 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 7 | 3 | 6 | 2 | 3 | 3 | 3 | 1 | 2 | 2 | 4 | 0 | 3 | 2 | 0 | 3 | 2 | 2 | 3 | 1 | 2 | 1 |
 21 | Holzhey, Christoph F. E. | PRINCETON UNIVERSITY. | 1993 | male | 2 | 1 | 1994 | 2 | 1 | 1994 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 26 | Popham, Robert George | THE UNIVERSITY OF ARIZONA. | 1993 | male | 4 | 10 | 2001 | 6 | 12 | 2001 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 3 | 1 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 3 | 0 | 1 | 3 | 1 | 3 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 35 | Minniti, Dante | THE UNIVERSITY OF ARIZONA. | 1993 | male | 8 | 40 | 2017 | 17 | 351 | 2017 | 0 | 2 | 1 | 0 | 2 | 3 | 1 | 6 | 8 | 2 | 2 | 1 | 0 | 0 | 3 | 1 | 4 | 1 | 0 | 1 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 1 | 2 | 3 | 1 | 2 | 4 | 5 | 3 | 7 | 10 | 15 | 8 | 11 | 13 | 13 | 13 | 12 | 19 | 17 | 16 | 17 | 14 | 12 | 14 | 26 | 19 | 24 | 23 | 18 | 18 |
 37 | Schmidhuber, Christof | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1993 | male | 1 | 4 | 2000 | 1 | 4 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
