 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1989 |  fa_1990 |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1989 |  all_1990 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 8 | Young, Kenneth Harbour | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1994 | male | 4 | 5 | 2004 | 14 | 48 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 5 | 2 | 7 | 2 | 5 | 7 | 4 | 1 | 0 | 1 | 3 | 1 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 2 | 4 | 2 | 2 | 1 |
 10 | Fisher, David Lawrence | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1994 | male | 2 | 6 | 2008 | 4 | 26 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 2 | 1 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 5 | 1 | 2 | 1 | 0 | 4 | 0 | 0 | 2 |
 11 | Wollack, Edward J. | PRINCETON UNIVERSITY. | 1994 | male | 2 | 6 | 2016 | 2 | 142 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 5 | 1 | 0 | 1 | 0 | 0 | 16 | 4 | 1 | 6 | 5 | 4 | 10 | 2 | 16 | 9 | 15 | 13 | 11 | 15 |
 12 | Bock, James Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1994 | male | 3 | 7 | 2013 | 7 | 405 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 6 | 4 | 1 | 1 | 3 | 2 | 12 | 8 | 13 | 18 | 6 | 8 | 10 | 13 | 10 | 23 | 64 | 38 | 20 | 38 | 54 | 19 | 37 |
 13 | Chen, Danli | COLUMBIA UNIVERSITY. | 1994 | female | 4 | 15 | 2015 | 9 | 93 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 1 | 4 | 1 | 0 | 1 | 3 | 1 | 3 | 3 | 2 | 15 | 4 | 6 | 15 | 4 | 4 | 5 | 6 | 4 | 5 | 5 | 0 |
 15 | Donnelly, R. Hank | California Univ., Santa Cruz, CA. | 1994 | male | 5 | 3 | 2001 | 5 | 9 | 2009 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 4 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 17 | Herbig, Thomas | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1994 | male | 2 | 1 | 1995 | 4 | 8 | 2002 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 19 | Lineweaver, Charles Howe | UNIVERSITY OF CALIFORNIA, BERKELEY. | 1994 | male | 2 | 25 | 2014 | 12 | 54 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 3 | 1 | 1 | 1 | 2 | 3 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 7 | 2 | 3 | 3 | 3 | 2 | 1 | 1 | 3 | 5 | 3 | 2 | 4 | 2 | 3 | 3 | 3 | 3 | 1 | 1 | 2 | 1 | 2 |
 20 | Dutta, Suvendra Nath | PRINCETON UNIVERSITY. | 1994 | male | 1 | 2 | 1996 | 4 | 22 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 2 | 3 | 3 | 1 | 1 | 1 | 0 | 0 | 1 |
 23 | Yi, Piljin | California Institute of Technology | 1994 | None | 3 | 3 | 1996 | 4 | 5 | 2005 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
