n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Siess, Lionel | Space Telescope Science Institute, 3700 San Martin drive, Baltimore, MD 21218, USA | 1996 | male | 3 | 19 | 2014 | 4 | 56 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 0 | 3 | 1 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 4 | 4 | 1 | 4 | 1 | 1 | 1 | 2 | 2 | 3 | 4 | 3 | 1 | 4 | 2 | 2 | 3 | 3 | 8 | 4 | 3 |
2 | Lee, Hee-Won | California Institute of Technology | 1996 | male | 9 | 43 | 2016 | 17 | 95 | 2017 | 0 | 0 | 0 | 2 | 3 | 4 | 8 | 8 | 2 | 4 | 2 | 1 | 3 | 2 | 3 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 |  1 | 1 | 0 | 4 | 5 | 6 | 10 | 8 | 4 | 9 | 9 | 7 | 6 | 6 | 5 | 1 | 5 | 4 | 2 | 2 | 2 | 2 | 2 | 4 | 4 | 2 |
3 | Wolk, Scott J. | Harvard--Smithsonian Center for Astrophysics Cambridge, Massachusetts, USA | 1996 | male | 2 | 13 | 2015 | 8 | 124 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 1 | 1 | 2 | 1 | 0 | 2 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 2 | 6 | 2 | 2 | 0 | 3 | 3 | 3 | 6 | 6 | 7 | 5 | 6 | 4 | 5 | 9 | 10 | 10 | 11 | 9 | 8 | 9 |
4 | Zhang, Qizhou | 60 Garden Street, Cambridge, MA 02138, USA | 1996 | None | 9 | 53 | 2017 | 16 | 290 | 2017 | 0 | 0 | 1 | 2 | 3 | 3 | 2 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 4 | 0 | 2 | 2 | 4 | 8 | 5 | 7 | 4 | 5 |  1 | 0 | 3 | 4 | 4 | 4 | 2 | 4 | 5 | 3 | 2 | 3 | 1 | 15 | 13 | 13 | 20 | 9 | 15 | 16 | 26 | 29 | 22 | 27 | 23 | 27 |
5 | van Belle, G. T. | University of Wyoming | 1996 | None | 2 | 16 | 2016 | 4 | 70 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 3 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 4 | 1 | 4 | 5 | 1 | 2 | 5 | 2 | 0 | 5 | 3 | 5 | 3 | 3 | 1 | 4 | 3 | 10 | 4 | 4 | 2 |
6 | Bahukutumbi, Radha Pillapakkam | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
7 | Cranmer, Steven R. | Bartol Research Institute, University of Delaware | 1996 | male | 5 | 36 | 2017 | 13 | 87 | 2017 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 2 | 3 | 2 | 1 | 1 | 1 | 1 | 2 | 0 | 1 | 2 | 4 | 3 | 1 | 2 | 2 | 3 | 2 | 2 |  3 | 0 | 2 | 2 | 3 | 3 | 6 | 4 | 11 | 3 | 3 | 4 | 2 | 2 | 2 | 1 | 1 | 5 | 6 | 8 | 3 | 4 | 3 | 7 | 3 | 8 |
8 | Titus, T. | University of Wyoming | 1996 | None | 1 | 7 | 2015 | 1 | 55 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 3 | 0 | 2 | 2 | 6 | 2 | 3 | 9 | 5 | 5 | 1 | 2 | 2 | 4 | 6 | 0 |
9 | Lindsay, Gretchen Marie | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1996 | female | 4 | 2 | 1999 | 4 | 3 | 1999 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Jensen, Eric L. N. | Department of Physics and Astronomy, Arizona State University, P. O. Box 1504, Tempe, AZ 85287, USA | 1996 | male | 5 | 9 | 2014 | 6 | 52 | 2017 | 0 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 2 | 3 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 1 | 4 | 4 | 4 | 6 | 5 | 8 |
