n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Fusco, Andrew Connell | UNIVERSITY OF COLORADO AT BOULDER | 1997 | male | 1 | 1 | 1999 | 1 | 2 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Burns, Stephen David | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 1997 | male | 1 | 0 | 1997 | 1 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
3 | Vassiliev, Vladimir V. | UNIVERSITY OF MINNESOTA | 1997 | male | 2 | 10 | 2008 | 9 | 125 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 4 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 0 | 5 | 1 | 5 | 7 | 3 | 5 | 22 | 5 | 5 | 3 | 5 | 9 | 11 | 7 | 11 | 5 | 6 | 6 | 5 | 3 |
4 | Colbert, Edward James McBride | UNIVERSITY OF MARYLAND COLLEGE PARK | 1997 | male | 5 | 7 | 2005 | 11 | 36 | 2011 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 3 | 3 | 1 | 5 | 3 | 2 | 1 | 3 | 2 | 8 | 4 | 1 | 3 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |
5 | Brazzle, Robert Harald | WASHINGTON UNIVERSITY | 1997 | male | 4 | 1 | 1999 | 8 | 1 | 1999 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 1 | 3 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Churchill, Christopher Will | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1997 | male | 4 | 16 | 2015 | 11 | 67 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 4 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 |  2 | 0 | 0 | 2 | 4 | 3 | 4 | 6 | 4 | 9 | 2 | 5 | 1 | 2 | 2 | 2 | 2 | 0 | 2 | 3 | 4 | 6 | 4 | 5 | 2 |
7 | Usuda, Kumiko S. | Subaru Telescope, National Astronomical Observatory of Japan, 650 North A'ohoku Place, Hilo, Hawaii 96720, USA | 1997 | female | 1 | 0 | 1997 | 1 | 5 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Francis, Gene Leonard | UNIVERSITY OF COLORADO AT BOULDER | 1997 | male | 1 | 0 | 1997 | 1 | 3 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Brautigam, Donald Hugh | UNIVERSITY OF NEW HAMPSHIRE | 1997 | male | 2 | 3 | 2005 | 7 | 6 | 2009 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Craig, Matthew William | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 1 | 1 | 2001 | 1 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
