 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 6 | Churchill, Christopher Will | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1997 | male | 4 | 16 | 2015 | 11 | 67 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 4 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 2 | 4 | 3 | 4 | 6 | 4 | 9 | 2 | 5 | 1 | 2 | 2 | 2 | 2 | 0 | 2 | 3 | 4 | 6 | 4 | 5 | 2 |
 10 | Craig, Matthew William | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 1 | 1 | 2001 | 1 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
 22 | Watrous, Mitchell James | UNIVERSITY OF WASHINGTON | 1997 | male | 1 | 0 | 1997 | 1 | 1 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 37 | Holbrook, Jarita Charmain | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1997 | female | 1 | 5 | 2010 | 2 | 5 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
 40 | Moore, Guy David | PRINCETON UNIVERSITY | 1997 | male | 2 | 4 | 2006 | 5 | 23 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 1 | 1 | 1 | 3 | 2 | 1 | 0 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 3 | 0 | 2 |
 45 | Rizzi, Anthony | PRINCETON UNIVERSITY | 1997 | male | 1 | 3 | 2002 | 1 | 20 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 6 | 7 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
 49 | Robinson, Craig Richard | THE PENNSYLVANIA STATE UNIVERSITY | 1997 | male | 3 | 1 | 2006 | 10 | 108 | 2016 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 4 | 10 | 6 | 1 | 0 | 1 | 0 | 0 | 5 | 6 | 8 | 14 | 16 | 9 | 7 | 18 | 6 | 0 | 0 | 1 |
 70 | Refregier, Alexandre | COLUMBIA UNIVERSITY | 1997 | male | 3 | 13 | 2014 | 4 | 113 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 7 | 2 | 4 | 4 | 8 | 2 | 4 | 11 | 5 | 8 | 8 | 1 | 5 | 2 | 5 | 6 | 21 |
 72 | Brown, Thomas Michael | THE JOHNS HOPKINS UNIVERSITY | 1997 | male | 6 | 33 | 2016 | 11 | 132 | 2017 | 0 | 0 | 1 | 2 | 1 | 2 | 3 | 0 | 3 | 1 | 3 | 2 | 3 | 2 | 3 | 1 | 2 | 2 | 2 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 1 | 2 | 3 | 3 | 2 | 6 | 3 | 9 | 1 | 3 | 6 | 7 | 7 | 6 | 8 | 7 | 6 | 17 | 13 | 4 | 6 | 4 | 12 | 2 |
 73 | Duncan, Todd Lucas | THE UNIVERSITY OF CHICAGO | 1997 | male | 1 | 0 | 1997 | 1 | 0 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 79 | Herrmann, Hans Wilhelm | PRINCETON UNIVERSITY | 1997 | male | 1 | 0 | 1997 | 1 | 8 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 3 |
 81 | Iyer, Venkatraman | THE UNIVERSITY OF ARIZONA | 1997 | male | 1 | 0 | 1997 | 1 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 82 | Ford, Eric Cassel | COLUMBIA UNIVERSITY | 1997 | male | 5 | 9 | 2000 | 16 | 31 | 2016 | 0 | 0 | 0 | 0 | 2 | 3 | 4 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 9 | 7 | 8 | 8 | 8 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 |
 83 | Glenn, Jason | THE UNIVERSITY OF ARIZONA | 1997 | male | 7 | 6 | 2015 | 8 | 130 | 2017 | 0 | 0 | 3 | 0 | 0 | 4 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 0 | 1 | 4 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 2 | 4 | 3 | 3 | 4 | 45 | 15 | 11 | 18 | 7 | 5 | 6 |
 84 | Harrus, Ilana Muriel | COLUMBIA UNIVERSITY | 1997 | female | 3 | 4 | 2004 | 3 | 19 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 2 | 4 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 |
 85 | Pando, Jesus | THE UNIVERSITY OF ARIZONA | 1997 | male | 2 | 6 | 2004 | 2 | 11 | 2006 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 86 | Morrissey, Patrick Francis | THE JOHNS HOPKINS UNIVERSITY | 1997 | male | 4 | 2 | 2007 | 4 | 94 | 2016 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 34 | 6 | 32 | 3 | 8 | 2 | 3 | 0 | 1 | 2 | 1 | 1 |
 87 | Dowell, Charles Darren | THE UNIVERSITY OF CHICAGO | 1997 | male | 1 | 2 | 2014 | 3 | 105 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 5 | 0 | 1 | 1 | 4 | 3 | 5 | 3 | 6 | 5 | 29 | 10 | 7 | 11 | 5 | 5 | 2 |
