n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Yildiz, Kazim Orhan | Yale University | 1998 | male | 1 | 1 | 1999 | 7 | 1 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Meyer, Christian Knowlton | UNIVERSITY OF COLORADO AT BOULDER | 1998 | male | 3 | 2 | 2009 | 5 | 19 | 2016 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 3 | 0 | 1 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 2 | 2 | 2 | 1 |
3 | Cornwell, Donald Mitchell, Jr. | UNIVERSITY OF MARYLAND COLLEGE PARK | 1998 | male | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Lehner, Luis | UNIVERSITY OF PITTSBURGH | 1998 | male | 1 | 19 | 2016 | 11 | 101 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 3 |  0 | 0 | 0 | 3 | 2 | 6 | 4 | 5 | 1 | 4 | 4 | 5 | 6 | 4 | 4 | 8 | 4 | 9 | 3 | 7 | 6 | 12 | 9 | 4 |
5 | Sarlin, Scott Peter | UNIVERSITY OF COLORADO AT BOULDER | 1998 | male | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Wallin, Bradley Karl | UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN | 1998 | male | 5 | 1 | 1999 | 8 | 1 | 1999 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 2 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
7 | Xu, Jing | UNIVERSITY OF CENTRAL FLORIDA | 1998 | female | 4 | 16 | 2016 | 9 | 71 | 2017 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 2 | 1 |  1 | 4 | 1 | 1 | 0 | 2 | 0 | 1 | 3 | 3 | 4 | 1 | 3 | 3 | 6 | 6 | 6 | 5 | 6 | 5 | 3 | 4 | 7 | 3 |
8 | Young, Erik Jordan | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1998 | male | 2 | 0 | 1998 | 5 | 19 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 2 | 2 | 0 | 4 | 0 | 0 | 1 | 0 | 1 | 1 | 0 |
9 | Scheper, Richard Albert | UNIVERSITY OF MARYLAND COLLEGE PARK | 1998 | male | 3 | 1 | 1999 | 3 | 1 | 1999 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Turtle, Elizabeth Pope | THE UNIVERSITY OF ARIZONA | 1998 | female | 2 | 11 | 2011 | 4 | 64 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 6 | 1 | 2 | 7 | 8 | 2 | 2 | 1 | 4 | 6 | 7 | 1 | 3 | 5 | 0 | 5 |
