 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 10 | Turtle, Elizabeth Pope | THE UNIVERSITY OF ARIZONA | 1998 | female | 2 | 11 | 2011 | 4 | 64 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 6 | 1 | 2 | 7 | 8 | 2 | 2 | 1 | 4 | 6 | 7 | 1 | 3 | 5 | 0 | 5 |
 11 | Wang, Frank Ye-Howe | COLUMBIA UNIVERSITY | 1998 | male | 3 | 11 | 2015 | 8 | 31 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 1 | 4 | 1 | 3 | 2 | 2 | 3 | 4 | 5 |
 12 | Boggs, Steven Edward | UNIVERSITY OF CALIFORNIA, BERKELEY | 1998 | male | 2 | 12 | 2015 | 3 | 210 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 1 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 2 | 0 | 7 | 4 | 5 | 7 | 4 | 3 | 5 | 2 | 1 | 2 | 17 | 53 | 50 | 36 |
 16 | Papathanassiou, Hariklia | THE PENNSYLVANIA STATE UNIVERSITY | 1998 | female | 2 | 1 | 1999 | 3 | 1 | 1999 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 26 | Takamiya, Marianne Yasuko | THE UNIVERSITY OF CHICAGO | 1998 | female | 2 | 4 | 2012 | 7 | 20 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 1 | 4 | 0 | 3 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 2 | 1 | 0 |
 27 | Uzdensky, Dmitri A. | PRINCETON UNIVERSITY | 1998 | male | 1 | 27 | 2016 | 1 | 55 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 4 | 2 | 2 | 1 | 2 | 4 | 1 | 1 | 1 | 3 | 0 | 1 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 4 | 3 | 2 | 2 | 2 | 4 | 3 | 4 | 2 | 4 | 5 | 4 | 4 | 4 | 6 |
 28 | Zhang, Bin | COLUMBIA UNIVERSITY | 1998 | male | 4 | 59 | 2017 | 14 | 282 | 2017 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 7 | 4 | 4 | 1 | 4 | 8 | 7 | 4 | 8 | 6 | 1 | 1 | 5 | 2 | 4 | 1 | 2 | 2 | 5 | 3 | 3 | 6 | 16 | 41 | 26 | 14 | 21 | 17 | 18 | 25 | 14 | 17 | 22 | 25 |
 45 | Williams, Darren Mark | THE PENNSYLVANIA STATE UNIVERSITY | 1998 | male | 7 | 9 | 2013 | 11 | 50 | 2017 | 0 | 0 | 2 | 0 | 3 | 2 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 5 | 4 | 0 | 0 | 1 | 2 | 2 | 4 | 3 | 15 | 1 | 2 | 2 | 2 | 3 | 1 | 2 | 2 | 0 | 2 |
 47 | Chen, Wei-Liang | THE JOHNS HOPKINS UNIVERSITY | 1998 | male | 7 | 23 | 2017 | 20 | 81 | 2017 | 0 | 1 | 0 | 3 | 1 | 2 | 0 | 0 | 1 | 1 | 2 | 0 | 2 | 4 | 2 | 4 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 2 | 0 | 8 | 2 | 8 | 2 | 2 | 2 | 3 | 4 | 4 | 9 | 6 | 4 | 6 | 3 | 2 | 4 | 12 | 11 | 2 | 2 | 2 |
 51 | Smutko, Michael Francis | THE UNIVERSITY OF CHICAGO | 1998 | male | 2 | 1 | 1999 | 3 | 4 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |
 55 | Wan, Lin | PRINCETON UNIVERSITY | 1998 | female | 4 | 1 | 2000 | 6 | 4 | 2016 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |
 57 | Chemishkian, Sergey Y. | THE UNIVERSITY OF ARIZONA | 1998 | male | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 66 | Stairs, Ingrid Helen | PRINCETON UNIVERSITY | 1998 | female | 2 | 11 | 2006 | 2 | 172 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 6 | 8 | 6 | 5 | 9 | 10 | 12 | 7 | 7 | 7 | 13 | 9 | 8 | 16 | 16 | 15 | 14 |
 67 | Ellithorpe, Don Wise | THE UNIVERSITY OF CHICAGO | 1998 | male | 3 | 0 | 1998 | 8 | 1 | 2003 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 69 | Barnes, Christopher | PRINCETON UNIVERSITY | 1998 | male | 7 | 3 | 2008 | 16 | 18 | 2014 | 1 | 0 | 3 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 3 | 3 | 3 | 1 | 0 | 0 | 0 | 9 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 |
 71 | Castronovo, Joseph Anthony, Jr. | THE UNIVERSITY OF ARIZONA | 1998 | male | 1 | 0 | 1998 | 1 | 0 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 75 | Cress, Catherine Marion | COLUMBIA UNIVERSITY | 1998 | female | 3 | 0 | 1998 | 4 | 17 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 1 | 2 | 1 | 4 | 1 |
 76 | Turner, Anne Marie | THE UNIVERSITY OF ARIZONA | 1998 | female | 2 | 1 | 1999 | 15 | 13 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 3 | 3 | 6 | 6 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 |
 79 | Martinez, Ty | THE UNIVERSITY OF ARIZONA | 1998 | male | 1 | 0 | 1998 | 2 | 4 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |
