n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Lee, Brian Charles | THE UNIVERSITY OF MICHIGAN | 1999 | male | 2 | 11 | 2015 | 6 | 117 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 1 | 2 | 1 | 0 |  0 | 1 | 0 | 2 | 0 | 3 | 4 | 4 | 10 | 4 | 10 | 7 | 10 | 14 | 13 | 5 | 7 | 3 | 10 | 4 | 2 | 3 | 5 |
2 | Marronetti, Pedro | UNIVERSITY OF NOTRE DAME | 1999 | male | 3 | 8 | 2008 | 6 | 30 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 2 | 2 | 5 | 0 | 0 | 3 | 1 | 0 | 2 | 2 | 2 | 2 | 2 | 1 | 1 | 4 | 1 | 2 | 2 |
3 | Pasquali, Lara | THE UNIVERSITY OF IOWA | 1999 | female | 5 | 0 | 1999 | 5 | 1 | 2009 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Sanford, Robert Ellis, Jr. | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1999 | male | 1 | 0 | 1999 | 9 | 2 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 4 | 5 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Fisher, Paul | THE LOUISIANA STATE UNIVERSITY AND AGRICULTURAL AND MECHANICAL COL. | 1999 | male | 1 | 0 | 1999 | 4 | 20 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 2 | 0 | 2 | 3 | 1 | 1 | 2 | 3 | 0 |
6 | Kass, David Michael | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 3 | 1 | 2003 | 5 | 35 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 1 | 2 | 2 | 5 | 4 | 3 | 2 | 1 | 7 | 3 |
7 | Levin, Yuri | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 2 | 13 | 2012 | 2 | 122 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 2 | 1 | 2 | 2 | 4 | 2 | 4 | 4 | 4 | 7 | 8 | 4 | 16 | 12 | 34 |
8 | Brockway, Jack Wolston, III | WAKE FOREST UNIVERSITY | 1999 | male | 2 | 0 | 1999 | 2 | 0 | 1999 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Mathis, Douglas Frank | ARIZONA STATE UNIVERSITY | 1999 | male | 1 | 0 | 1999 | 1 | 0 | 1999 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
10 | Sitar, Robert John | THE UNIVERSITY OF MICHIGAN | 1999 | male | 4 | 0 | 1999 | 7 | 0 | 1999 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
