 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 6 | Kass, David Michael | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 3 | 1 | 2003 | 5 | 35 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 1 | 2 | 2 | 5 | 4 | 3 | 2 | 1 | 7 | 3 |
 7 | Levin, Yuri | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 2 | 13 | 2012 | 2 | 122 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 2 | 1 | 2 | 2 | 4 | 2 | 4 | 4 | 4 | 7 | 8 | 4 | 16 | 12 | 34 |
 11 | Trilling, David Eric | THE UNIVERSITY OF ARIZONA | 1999 | male | 4 | 15 | 2016 | 5 | 85 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 1 | 1 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 3 | 2 | 4 | 1 | 2 | 4 | 1 | 7 | 8 | 7 | 5 | 5 | 10 | 8 | 3 | 2 | 7 | 4 | 6 |
 13 | Bullock, James Steven | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1999 | male | 3 | 11 | 2010 | 6 | 148 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 4 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 2 | 7 | 6 | 4 | 2 | 4 | 12 | 13 | 12 | 9 | 8 | 12 | 9 | 13 | 14 | 12 | 6 |
 21 | Coker, Robert Francis | THE UNIVERSITY OF ARIZONA | 1999 | male | 4 | 6 | 2007 | 7 | 22 | 2011 | 0 | 0 | 0 | 2 | 0 | 2 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 3 | 5 | 2 | 2 | 1 | 0 | 2 | 2 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 24 | Dolphin, Andrew Eugene | UNIVERSITY OF WASHINGTON | 1999 | male | 3 | 18 | 2016 | 6 | 167 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 3 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 2 | 3 | 7 | 8 | 10 | 9 | 2 | 1 | 5 | 7 | 6 | 10 | 11 | 13 | 15 | 12 | 15 | 16 | 15 |
 26 | Nishikida, Kaori | THE PENNSYLVANIA STATE UNIVERSITY | 1999 | female | 1 | 1 | 2006 | 1 | 11 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 5 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 30 | Chen, Pin | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 12 | 60 | 2017 | 17 | 169 | 2017 | 2 | 3 | 1 | 1 | 1 | 4 | 4 | 4 | 2 | 5 | 2 | 4 | 8 | 2 | 3 | 2 | 1 | 5 | 4 | 0 | 6 | 2 | 4 | 4 | 3 | 2 | 2 | 1 | 5 | 4 | 5 | 6 | 7 | 4 | 10 | 13 | 10 | 11 | 13 | 7 | 11 | 16 | 7 | 10 | 12 | 15 |
 32 | Showman, Adam Peter | CALIFORNIA INSTITUTE OF TECHNOLOGY | 1999 | male | 5 | 24 | 2016 | 5 | 138 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 3 | 2 | 1 | 2 | 0 | 4 | 1 | 1 | 1 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 2 | 2 | 0 | 3 | 8 | 5 | 7 | 10 | 11 | 10 | 8 | 6 | 18 | 18 | 14 | 10 |
 35 | Frye, Brenda Louise | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | female | 3 | 4 | 2012 | 6 | 44 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 2 | 1 | 0 | 3 | 3 | 2 | 1 | 4 | 1 | 1 | 1 | 1 | 0 | 1 | 9 | 8 |
 37 | Holtmann, Erich Nielsen | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 3 | 0 | 1999 | 4 | 1 | 2000 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 41 | Gawiser, Eric Joseph | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 3 | 6 | 2009 | 3 | 123 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 4 | 4 | 1 | 5 | 2 | 3 | 12 | 9 | 6 | 10 | 11 | 13 | 9 | 5 | 8 | 8 | 9 |
 43 | Finkbeiner, Douglas Paul | UNIVERSITY OF CALIFORNIA, BERKELEY | 1999 | male | 3 | 16 | 2016 | 5 | 110 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 2 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 4 | 4 | 10 | 11 | 5 | 8 | 9 | 10 | 9 | 8 | 3 | 5 | 6 | 5 | 4 | 6 |
 47 | Coble, Kimberly Ann | THE UNIVERSITY OF CHICAGO | 1999 | female | 3 | 3 | 2007 | 3 | 12 | 2007 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 4 | 2 | 3 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
