n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Marsden, Craig Michael | RUTGERS THE STATE UNIVERSITY OF NEW JERSEY - NEW BRUNSWICK | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Polomski, Elisha F. | University of Florida, Department of Astronomy, Gainesville, FL | 2000 | female | 3 | 2 | 2005 | 8 | 31 | 2011 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 3 | 2 | 1 | 1 | 0 | 2 | 2 | 11 | 7 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
3 | Tuttle, Carl Emerson | THE UNIVERSITY OF NEW MEXICO | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Luo, Ning | CLEMSON UNIVERSITY | 2000 | female | 1 | 0 | 2000 | 3 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Leonor, I. R. | Department of Physics and Astronomy, University of California, Irvine | 2000 | None | 1 | 2 | 2010 | 10 | 96 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 0 | 3 | 0 | 1 | 3 | 1 | 0 | 2 | 8 | 8 | 3 | 8 | 14 | 15 | 9 | 7 | 16 | 4 | 1 | 0 | 0 |
6 | Kling, Thomas Price | UNIVERSITY OF PITTSBURGH | 2000 | male | 5 | 6 | 2016 | 6 | 10 | 2016 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 5 | 2 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 |
7 | Bak, Jakob | OHIO UNIVERSITY | 2000 | male | 2 | 0 | 2000 | 2 | 1 | 2001 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Wittich, Peter | UNIVERSITY OF PENNSYLVANIA | 2000 | male | 1 | 0 | 2000 | 3 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 1 |
9 | Taylor, Brian Keith | THE UNIVERSITY OF TENNESSEE | 2000 | male | 2 | 5 | 2011 | 5 | 45 | 2016 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 2 | 2 | 2 | 4 | 4 | 2 | 2 | 4 | 6 | 5 | 5 | 0 | 3 | 4 |
10 | Huey, Gregory Gordon | UNIVERSITY OF PENNSYLVANIA | 2000 | male | 2 | 1 | 2001 | 2 | 9 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 2 | 1 | 0 |
11 | Garat, Alcides | THE UNIVERSITY OF UTAH | 2000 | male | 3 | 4 | 2015 | 4 | 4 | 2015 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 |  1 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 |
12 | Duman, Timothy Allen | UNIVERSITY OF KANSAS | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Hale, Amy Shell Snyder | UNIVERSITY OF PITTSBURGH | 2000 | female | 2 | 2 | 2013 | 2 | 4 | 2013 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 |
14 | Joshi, Kriten J. | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2000 | None | 4 | 1 | 2001 | 6 | 8 | 2012 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 4 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |
15 | Nair, Vibhat Vijay | UNIVERSITY OF PENNSYLVANIA | 2000 | male | 3 | 0 | 2000 | 3 | 0 | 2000 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
16 | Ohl, Raymond George, IV | UNIVERSITY OF VIRGINIA | 2000 | male | 4 | 0 | 2000 | 8 | 3 | 2013 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 7 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
17 | Hatano, Kazuhito | THE UNIVERSITY OF OKLAHOMA | 2000 | male | 8 | 1 | 2002 | 12 | 7 | 2007 | 0 | 0 | 3 | 1 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 1 | 4 | 4 | 0 | 3 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
18 | Varieschi, Gabriele Umberto | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2000 | male | 1 | 6 | 2016 | 3 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 1 |
19 | Will, Lisa Marie | ARIZONA STATE UNIVERSITY | 2000 | female | 2 | 1 | 2001 | 2 | 1 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
20 | Bayramian, Andrew James | UNIVERSITY OF CALIFORNIA, DAVIS | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
21 | Lee, Soo-Hyoung | UNIVERSITY OF MASSACHUSETTS LOWELL | 2000 | male | 4 | 17 | 2017 | 6 | 117 | 2017 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 2 | 2 |  1 | 1 | 2 | 0 | 0 | 2 | 2 | 1 | 2 | 0 | 2 | 3 | 2 | 0 | 12 | 26 | 22 | 20 | 9 | 3 | 5 | 5 |
22 | Leonor, Maria Isabel R. | UNIVERSITY OF CALIFORNIA, IRVINE | 2000 | female | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
23 | Gu, Pin-Gao | THE UNIVERSITY OF TEXAS AT AUSTIN | 2000 | male | 3 | 7 | 2010 | 3 | 18 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 2 | 2 | 0 | 3 | 0 | 3 | 1 | 1 |
