 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 24 | Joffre, Michael | The University of Chicago | 2000 | male | 2 | 1 | 2003 | 3 | 3 | 2003 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 25 | Harlow, Jason John Bradley | THE PENNSYLVANIA STATE UNIVERSITY | 2000 | male | 2 | 0 | 2000 | 7 | 0 | 2000 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 32 | Murphy, Thomas Williams, Jr. | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 1 | 10 | 2014 | 3 | 73 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 2 | 2 | 4 | 0 | 0 | 3 | 4 | 5 | 5 | 7 | 9 | 5 | 6 | 8 | 11 |
 33 | Humphreys, Tom Daniel, III | UNIVERSITY OF CALIFORNIA, BERKELEY | 2000 | male | 1 | 0 | 2000 | 1 | 0 | 2000 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 37 | Krasnopolsky, Ruben | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 2 | 8 | 2012 | 2 | 24 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 3 | 0 | 2 | 1 | 0 | 1 | 1 | 1 | 3 | 1 | 1 | 3 | 3 | 1 |
 41 | Phelps, Steven D. | PRINCETON UNIVERSITY | 2000 | male | 1 | 3 | 2013 | 2 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
 47 | Chiang, Eugene | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 7 | 20 | 2013 | 8 | 81 | 2017 | 0 | 2 | 1 | 0 | 2 | 2 | 2 | 5 | 4 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 3 | 2 | 7 | 5 | 2 | 4 | 4 | 6 | 4 | 4 | 4 | 2 | 4 | 5 | 6 | 9 | 11 |
 53 | Dai, Wei | THE UNIVERSITY OF ARIZONA | 2000 | male | 2 | 2 | 2015 | 3 | 10 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 1 | 3 | 1 |
 55 | Behr, Bradford Bartholomew | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2000 | male | 4 | 4 | 2011 | 6 | 13 | 2011 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 3 | 2 | 0 | 2 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |
 62 | Bay, Ryan Carlton | UNIVERSITY OF CALIFORNIA, BERKELEY | 2000 | male | 3 | 2 | 2004 | 9 | 137 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 3 | 4 | 3 | 3 | 9 | 6 | 7 | 4 | 5 | 7 | 11 | 13 | 10 | 17 | 7 | 10 | 15 |
