n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Dreyer, Olaf | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 2 | 6 | 2014 | 3 | 7 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |
2 | Smith, Daniel Carlton | IOWA STATE UNIVERSITY | 2001 | male | 3 | 3 | 2006 | 12 | 37 | 2016 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 3 | 3 | 1 | 3 | 0 | 5 | 6 | 1 | 2 | 0 | 1 | 3 | 4 | 0 | 2 | 3 | 6 | 0 | 4 |
3 | Lopez-Aleman, Ramon | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 1 | 0 | 2001 | 1 | 2 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Mitchell, Robert Carl | THE UNIVERSITY OF OKLAHOMA | 2001 | male | 2 | 1 | 2002 | 3 | 3 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
5 | Wascko, Morgan O'hagan | UNIVERSITY OF CALIFORNIA, RIVERSIDE | 2001 | male | 2 | 0 | 2001 | 2 | 2 | 2012 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
6 | Hameed, Salman Arshad | NEW MEXICO STATE UNIVERSITY | 2001 | male | 3 | 4 | 2013 | 5 | 8 | 2013 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |
7 | Garasi, Christopher Joseph | NEW MEXICO STATE UNIVERSITY | 2001 | male | 2 | 0 | 2001 | 3 | 0 | 2001 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Cain, Stephen Charles | THE UNIVERSITY OF DAYTON | 2001 | male | 1 | 0 | 2001 | 1 | 1 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
9 | Fairhurst, Stephen | THE PENNSYLVANIA STATE UNIVERSITY | 2001 | male | 2 | 4 | 2011 | 6 | 185 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 2 | 0 | 2 | 3 | 12 | 3 | 9 | 22 | 19 | 10 | 11 | 19 | 12 | 17 | 8 | 29 |
10 | Iyer, Sharada Ramlingam | THE UNIVERSITY OF ARIZONA | 2001 | female | 2 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
11 | Chen, Kuo-Chang | UNIVERSITY OF MINNESOTA | 2001 | male | 1 | 1 | 2008 | 3 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 |
12 | Gibb, Erika Lynne | RENSSELAER POLYTECHNIC INSTITUTE | 2001 | female | 4 | 12 | 2016 | 7 | 47 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 2 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 2 | 5 | 2 | 2 | 5 | 4 | 3 | 5 | 3 | 2 | 3 | 3 | 3 | 3 | 3 | 1 | 2 |
13 | Keiling, Andreas Detlef | UNIVERSITY OF MINNESOTA | 2001 | male | 4 | 16 | 2016 | 6 | 29 | 2016 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 2 | 2 | 0 | 0 | 2 | 3 | 0 | 1 | 1 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 5 | 3 | 2 | 3 | 4 | 0 | 1 | 4 | 4 | 2 | 1 | 2 | 0 | 2 | 0 | 1 |
14 | Hibbitts, Charles Arthur | UNIVERSITY OF HAWAII | 2001 | male | 2 | 4 | 2011 | 10 | 32 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  2 | 1 | 2 | 2 | 1 | 2 | 1 | 3 | 2 | 2 | 3 | 2 | 3 | 1 | 3 | 1 | 3 | 2 | 1 | 1 | 3 |
