n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Rao, Shanti Raja | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | female | 1 | 0 | 2003 | 7 | 17 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 2 | 2 | 1 | 7 | 7 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
2 | Athey, Alex Edward | UNIVERSITY OF MICHIGAN | 2003 | male | 2 | 2 | 2009 | 5 | 6 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
3 | Myers, Jeannette Marie | CLEMSON UNIVERSITY | 2003 | female | 2 | 1 | 2010 | 2 | 56 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 6 | 8 | 3 | 8 | 14 | 14 | 3 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Kinkhabwala, Ali Amir | COLUMBIA UNIVERSITY | 2003 | male | 4 | 0 | 2003 | 10 | 0 | 2003 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 1 | 0 | 4 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Lewis, Matthew James | UNIVERSITY OF MICHIGAN | 2003 | male | 3 | 1 | 2004 | 7 | 7 | 2008 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 2 | 3 | 2 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Montroy, Thomas Erhardt | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 2003 | male | 2 | 1 | 2006 | 18 | 69 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 3 | 4 | 8 | 0 | 2 | 7 | 5 | 2 | 2 | 10 | 9 | 11 | 10 | 5 | 5 | 1 |
7 | Zentner, Andrew Ronald | THE OHIO STATE UNIVERSITY | 2003 | male | 4 | 9 | 2014 | 5 | 65 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 2 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 2 | 5 | 6 | 5 | 5 | 7 | 4 | 7 | 6 | 5 | 4 | 5 | 4 |
8 | Messaritaki, Eirini | University of Florida | 2003 | female | 1 | 2 | 2007 | 2 | 32 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 9 | 3 | 9 | 7 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
9 | Sherry, William Henry | STATE UNIVERSITY OF NEW YORK AT STONY BROOK | 2003 | male | 1 | 2 | 2008 | 1 | 23 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 3 | 1 | 2 | 7 | 2 | 0 | 0 | 2 | 2 |
10 | Murr, David Lee | BOSTON UNIVERSITY | 2003 | male | 4 | 1 | 2007 | 11 | 10 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 1 | 2 | 2 | 3 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 |
11 | Pelkey, Shannon M. | UNIVERSITY OF COLORADO AT BOULDER | 2003 | female | 4 | 2 | 2007 | 5 | 9 | 2009 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
12 | Riddolls, Ryan James | MASSACHUSETTS INSTITUTE OF TECHNOLOGY | 2003 | male | 1 | 0 | 2003 | 5 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Glassman, Tiffany Michelle | UNIVERSITY OF CALIFORNIA, LOS ANGELES | 2003 | female | 3 | 0 | 2003 | 6 | 3 | 2012 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
14 | Hynek, Brian Michael | WASHINGTON UNIVERSITY | 2003 | male | 5 | 10 | 2013 | 7 | 37 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 1 | 4 | 1 | 2 | 3 | 1 | 2 | 3 | 4 | 6 | 3 | 6 | 3 | 1 | 1 |
15 | Groves, Peter Bernard | WAKE FOREST UNIVERSITY, THE BOWMAN GRAY SCHOOL OF MEDICINE | 2003 | male | 2 | 0 | 2003 | 3 | 0 | 2003 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
16 | Rhode, Katherine Louise | Yale University | 2003 | female | 5 | 7 | 2017 | 6 | 42 | 2017 | 0 | 1 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 0 | 2 | 1 | 1 | 3 | 4 | 1 | 0 | 2 | 4 | 6 | 5 | 4 | 8 | 1 |
17 | Thomas, Rollin Corwin | THE UNIVERSITY OF OKLAHOMA | 2003 | male | 4 | 9 | 2017 | 13 | 113 | 2017 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 3 | 2 | 5 | 3 | 9 | 6 | 7 | 4 | 3 | 6 | 4 | 12 | 6 | 11 | 9 | 16 | 14 |
18 | Allen, Ursula Adrianne | UNIVERSITY OF COLORADO AT BOULDER | 2003 | female | 1 | 1 | 2013 | 1 | 1 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
19 | Chen, Yanbei | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | None | 29 | 67 | 2017 | 73 | 502 | 2017 | 3 | 3 | 3 | 7 | 3 | 10 | 5 | 3 | 8 | 6 | 4 | 3 | 8 | 7 | 3 | 3 | 7 | 5 | 4 |  5 | 8 | 13 | 15 | 11 | 21 | 25 | 28 | 31 | 28 | 32 | 36 | 29 | 40 | 52 | 31 | 49 | 39 | 63 |
20 | Zach, Juergen Johann | THE OHIO STATE UNIVERSITY | 2003 | male | 3 | 0 | 2003 | 5 | 0 | 2003 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
21 | Hidaka, Jun | THE UNIVERSITY OF UTAH | 2003 | male | 1 | 3 | 2016 | 1 | 13 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 2 | 3 |
22 | Byrne, Shane | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 4 | 5 | 2009 | 7 | 62 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 4 | 2 | 2 | 0 | 3 | 4 | 2 | 10 | 4 | 4 | 4 | 4 | 8 | 11 |
23 | Payton, Allison Mccomiskey | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 2003 | female | 1 | 0 | 2003 | 2 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
24 | Larsen, Kristopher William | WASHINGTON UNIVERSITY | 2003 | male | 2 | 20 | 2016 | 3 | 33 | 2016 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 3 | 3 | 1 | 4 | 2 | 1 | 2 | 3 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 3 | 3 | 3 | 3 | 2 | 6 | 2 | 3 | 3 | 4 |
25 | Peterson, John Russell | COLUMBIA UNIVERSITY | 2003 | male | 3 | 5 | 2015 | 13 | 32 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 7 | 2 | 3 | 4 | 1 | 4 | 2 | 0 | 3 | 4 | 0 | 2 | 4 | 1 | 3 | 4 |
