 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 1 | Rao, Shanti Raja | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | female | 1 | 0 | 2003 | 7 | 17 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 2 | 1 | 7 | 7 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 4 | Kinkhabwala, Ali Amir | COLUMBIA UNIVERSITY | 2003 | male | 4 | 0 | 2003 | 10 | 0 | 2003 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 4 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 19 | Chen, Yanbei | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | None | 29 | 67 | 2017 | 73 | 502 | 2017 | 3 | 3 | 3 | 7 | 3 | 10 | 5 | 3 | 8 | 6 | 4 | 3 | 8 | 7 | 3 | 3 | 7 | 5 | 4 | 5 | 8 | 13 | 15 | 11 | 21 | 25 | 28 | 31 | 28 | 32 | 36 | 29 | 40 | 52 | 31 | 49 | 39 | 63 |
 22 | Byrne, Shane | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 4 | 5 | 2009 | 7 | 62 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 2 | 2 | 0 | 3 | 4 | 2 | 10 | 4 | 4 | 4 | 4 | 8 | 11 |
 25 | Peterson, John Russell | COLUMBIA UNIVERSITY | 2003 | male | 3 | 5 | 2015 | 13 | 32 | 2016 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 7 | 2 | 3 | 4 | 1 | 4 | 2 | 0 | 3 | 4 | 0 | 2 | 4 | 1 | 3 | 4 |
 34 | Armstrong, John Charles | UNIVERSITY OF WASHINGTON | 2003 | male | 2 | 6 | 2014 | 5 | 11 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 1 | 0 |
 39 | Hinz, Joannah Louise | THE UNIVERSITY OF ARIZONA | 2003 | female | 4 | 7 | 2012 | 6 | 84 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 6 | 3 | 7 | 5 | 1 | 3 | 6 | 7 | 11 | 9 | 13 | 9 | 3 |
 40 | Ciesla, Fred John | THE UNIVERSITY OF ARIZONA | 2003 | male | 3 | 23 | 2015 | 5 | 60 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 3 | 2 | 2 | 4 | 3 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 2 | 3 | 4 | 2 | 3 | 9 | 5 | 3 | 6 | 3 | 5 | 7 | 6 |
 50 | Shapley, Alice Eve | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | female | 4 | 9 | 2017 | 21 | 110 | 2017 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 3 | 6 | 6 | 6 | 6 | 7 | 7 | 7 | 6 | 10 | 10 | 8 | 10 | 8 | 4 | 12 | 11 |
 51 | Drouet D'Aubigny, Christian Yann Pierre | THE UNIVERSITY OF ARIZONA | 2003 | male | 1 | 0 | 2003 | 1 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |
