 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 1 | Bailin, Jeremy | The University of Arizona, Arizona, USA | 2004 | male | 4 | 11 | 2014 | 4 | 49 | 2017 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 2 | 3 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 4 | 2 | 6 | 2 | 5 | 4 | 3 | 4 | 7 | 0 | 6 |
 6 | Broderick, Avery E. | California Institute of Technology, California, USA | 2004 | male | 6 | 30 | 2016 | 7 | 58 | 2017 | 0 | 1 | 0 | 1 | 2 | 2 | 2 | 5 | 2 | 2 | 5 | 3 | 3 | 1 | 0 | 3 | 2 | 2 | 0 | 1 | 0 | 1 | 3 | 2 | 3 | 6 | 2 | 3 | 8 | 3 | 3 | 5 | 0 | 8 | 7 | 7 |
 9 | Moro-Martin, Maria Amaya | The University of Arizona, Arizona, USA | 2004 | female | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 10 | Sievers, Jonathan Leroy | California Institute of Technology, California, USA | 2004 | male | 2 | 2 | 2013 | 10 | 58 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 4 | 3 | 2 | 2 | 0 | 3 | 5 | 7 | 4 | 5 | 6 | 9 | 8 |
 13 | Mignone, Andrea | The University of Chicago, Illinois, USA | 2004 | female | 3 | 19 | 2013 | 6 | 68 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 4 | 1 | 3 | 2 | 3 | 3 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 5 | 1 | 4 | 9 | 11 | 4 | 4 | 5 | 7 | 6 | 4 | 5 |
 15 | Baiocchi, Dave | The University of Arizona, Arizona, USA | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 16 | Beyer, Ross Alan | The University of Arizona, Arizona, USA | 2004 | male | 2 | 4 | 2017 | 5 | 46 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 3 | 4 | 0 | 7 | 0 | 5 | 0 | 2 | 2 | 10 |
 20 | Barnes, Rory | University of Washington, Washington, USA | 2004 | male | 4 | 17 | 2015 | 9 | 79 | 2017 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 3 | 2 | 2 | 3 | 1 | 1 | 0 | 2 | 0 | 3 | 0 | 0 | 0 | 2 | 2 | 0 | 5 | 3 | 5 | 5 | 9 | 6 | 8 | 6 | 4 | 11 | 6 | 11 | 4 |
 24 | Alexakis, Alexandros | THE UNIVERSITY OF CHICAGO | 2004 | male | 5 | 5 | 2013 | 6 | 12 | 2016 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 2 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 2 |
 25 | Schroedter, Martin | The University of Arizona, Arizona, USA | 2004 | male | 1 | 4 | 2009 | 26 | 66 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 19 | 6 | 5 | 3 | 2 | 7 | 13 | 8 | 13 | 8 | 5 | 1 | 1 | 0 |
