n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Williams, Clemency J. | Brown University | 2005 | female | 1 | 0 | 2005 | 5 | 61 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 3 | 2 | 3 | 4 | 2 | 7 | 11 | 12 | 4 | 9 | 6 | 1 |
2 | Wisniewski, J. P. | Ritter Observatory, University of Toledo | 2005 | None | 3 | 11 | 2015 | 5 | 103 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 4 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 3 | 1 | 1 | 2 | 4 | 3 | 3 | 5 | 7 | 14 | 12 | 17 | 15 | 16 |
3 | Chisholm, James R. | The University of Chicago, Illinois, USA | 2005 | male | 3 | 3 | 2011 | 3 | 4 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |
4 | Daly, Jason Thomas | University of Notre Dame, Indiana, USA | 2005 | male | 1 | 0 | 2005 | 2 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
5 | Fowler, Galen James | University of California, Los Angeles, California, USA | 2005 | male | 2 | 0 | 2005 | 2 | 0 | 2005 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Bruntz, Robert Jeffrey | The University of Texas at El Paso | 2005 | male | 2 | 3 | 2012 | 2 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 2 | 0 | 5 | 0 | 1 | 0 | 2 |
7 | Cortes, Paulo Cesar | University of Illinois at Urbana-Champaign, Illinois, USA | 2005 | male | 2 | 6 | 2016 | 2 | 22 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 2 | 4 | 10 |
8 | Rathore, Yasser | California Institute of Technology | 2005 | male | 3 | 0 | 2005 | 3 | 1 | 2006 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Sefusatti, Emiliano | New York University, New York, USA | 2005 | male | 2 | 11 | 2016 | 4 | 30 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 1 | 3 | 3 | 3 | 4 | 3 | 4 | 1 | 1 |
10 | Chappelow, John E. | University of Alaska Fairbanks, Alaska, USA | 2005 | male | 3 | 5 | 2013 | 3 | 7 | 2013 | 0 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |
11 | Duez, Matthew D. | University of Illinois at Urbana-Champaign, Illinois, USA | 2005 | male | 8 | 6 | 2012 | 9 | 26 | 2017 | 0 | 1 | 1 | 1 | 2 | 3 | 2 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 1 | 3 | 3 | 3 | 1 | 1 | 1 | 2 | 1 | 2 | 4 | 3 | 1 | 5 |
12 | Moore, Shauntae | University of Arkansas | 2005 | female | 2 | 1 | 2006 | 6 | 14 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 1 | 3 | 2 | 3 | 4 | 1 | 3 | 0 | 0 | 0 | 1 | 0 | 0 |
13 | Chang, Philip | University of California, Santa Barbara, California, USA | 2005 | male | 5 | 17 | 2016 | 10 | 56 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 3 | 3 | 1 | 4 | 2 | 1 | 0 | 1 | 0 | 1 |  0 | 0 | 1 | 2 | 4 | 3 | 1 | 7 | 6 | 2 | 6 | 5 | 6 | 4 | 6 | 6 | 4 |
14 | Dijkstra, Mark | Columbia University, New York, USA | 2005 | male | 5 | 30 | 2016 | 6 | 67 | 2017 | 0 | 0 | 0 | 0 | 3 | 2 | 4 | 3 | 5 | 4 | 2 | 1 | 3 | 1 | 3 | 0 | 4 |  0 | 0 | 1 | 0 | 3 | 2 | 4 | 4 | 6 | 4 | 3 | 4 | 5 | 3 | 8 | 5 | 16 |
