 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 3 | Chisholm, James R. | The University of Chicago, Illinois, USA | 2005 | male | 3 | 3 | 2011 | 3 | 4 | 2016 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |
 8 | Rathore, Yasser | California Institute of Technology | 2005 | male | 3 | 0 | 2005 | 3 | 1 | 2006 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 14 | Dijkstra, Mark | Columbia University, New York, USA | 2005 | male | 5 | 30 | 2016 | 6 | 67 | 2017 | 0 | 0 | 0 | 0 | 3 | 2 | 4 | 3 | 5 | 4 | 2 | 1 | 3 | 1 | 3 | 0 | 4 | 0 | 0 | 1 | 0 | 3 | 2 | 4 | 4 | 6 | 4 | 3 | 4 | 5 | 3 | 8 | 5 | 16 |
 18 | Hirata, Christopher Michael | Princeton University, New Jersey, USA | 2005 | male | 9 | 16 | 2014 | 17 | 92 | 2017 | 0 | 0 | 0 | 3 | 3 | 3 | 2 | 2 | 3 | 3 | 2 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 5 | 9 | 7 | 4 | 11 | 7 | 9 | 11 | 9 | 10 | 5 | 6 | 10 |
 19 | Sing, David Kent | The University of Arizona, Arizona, USA | 2005 | male | 3 | 12 | 2016 | 4 | 62 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 2 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 4 | 5 | 5 | 6 | 5 | 7 | 8 | 3 | 6 | 7 |
 21 | Gezari, Suvi T. K. | Columbia University, New York, USA | 2005 | female | 5 | 12 | 2017 | 7 | 36 | 2017 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 1 | 1 | 2 | 4 | 3 | 4 | 1 | 2 | 2 | 6 | 8 |
 22 | Jacoby, Bryan Anthony | California Institute of Technology, California, USA | 2005 | male | 3 | 4 | 2009 | 7 | 10 | 2012 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 2 | 4 | 1 | 1 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 |
 43 | Bramel, Douglas A. | Columbia University, New York, USA | 2005 | male | 3 | 0 | 2005 | 19 | 4 | 2011 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 3 | 2 | 9 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 45 | Mazin, Benjamin A. | California Institute of Technology, California, USA | 2005 | male | 3 | 3 | 2013 | 5 | 15 | 2016 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 3 | 3 | 1 | 3 | 3 |
 50 | Radebaugh, Jani | The University of Arizona, Arizona, USA | 2005 | male | 3 | 6 | 2011 | 14 | 49 | 2016 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 5 | 2 | 3 | 7 | 4 | 4 | 5 | 4 | 3 | 3 | 4 | 3 | 9 |
