n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Liu, Wei | Department of Physics, Stanford University | 2006 | male | 20 | 66 | 2017 | 69 | 172 | 2017 | 2 | 1 | 0 | 1 | 3 | 13 | 6 | 9 | 11 | 6 | 9 | 5 | 5 | 5 | 5 | 3 |  8 | 10 | 16 | 4 | 10 | 21 | 12 | 16 | 19 | 14 | 17 | 18 | 19 | 17 | 14 | 19 |
2 | Lane, Kristina Maria Doyle | The University of Texas at Austin | 2006 | female | 1 | 0 | 2006 | 1 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
3 | Murray, Brian M. | University of Oregon | 2006 | male | 2 | 0 | 2006 | 6 | 1 | 2008 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
4 | Schissel, Jason R. | University of California, Los Angeles | 2006 | male | 1 | 0 | 2006 | 3 | 0 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
5 | Barnhill, David Scott | University of California, Los Angeles | 2006 | male | 2 | 0 | 2006 | 8 | 7 | 2008 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 4 | 1 | 3 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Ma, Zhanwen | The University of Tennessee | 2006 | None | 6 | 4 | 2014 | 33 | 28 | 2017 | 3 | 1 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |  5 | 2 | 3 | 10 | 9 | 4 | 8 | 6 | 2 | 2 | 2 | 2 | 0 | 2 | 2 | 1 |
7 | Siegel, Ethan R. | University of Florida | 2006 | male | 5 | 1 | 2007 | 5 | 2 | 2008 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 3 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Dobler, Gregory | University of Pennsylvania, Pennsylvania, USA | 2006 | male | 3 | 10 | 2015 | 3 | 22 | 2015 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 3 | 1 | 1 | 1 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 4 | 2 | 4 | 1 | 4 | 2 | 1 | 2 | 0 |
9 | Abramov, Oleg | The University of Arizona, Arizona, USA | 2006 | male | 3 | 11 | 2016 | 3 | 18 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 3 | 0 | 1 | 1 | 2 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 0 | 1 | 3 | 2 | 2 | 1 | 1 |
10 | Halfen, Dewayne Terrence | The University of Arizona, Arizona, USA | 2006 | male | 6 | 14 | 2016 | 9 | 23 | 2016 | 1 | 1 | 0 | 2 | 0 | 2 | 1 | 3 | 1 | 1 | 2 | 0 | 1 | 2 | 2 | 1 |  1 | 1 | 0 | 2 | 0 | 5 | 1 | 5 | 1 | 2 | 3 | 1 | 1 | 2 | 3 | 4 |
