n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Quinn, Jason L. | University of Notre Dame | 2007 | male | 2 | 3 | 2014 | 50 | 100 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 |  6 | 23 | 6 | 4 | 8 | 3 | 7 | 13 | 12 | 14 | 9 | 9 | 13 | 8 | 10 |
2 | Christe, Steven Daniel | University of California, Berkeley | 2007 | male | 1 | 5 | 2016 | 3 | 21 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 |  1 | 0 | 0 | 0 | 0 | 2 | 5 | 1 | 0 | 7 | 0 | 0 | 4 | 1 | 3 |
3 | Dunn, Jacqueline M. | Texas Christian University | 2007 | female | 1 | 3 | 2015 | 3 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 0 |
4 | Hand, Kevin Peter | Stanford University | 2007 | male | 4 | 6 | 2015 | 7 | 28 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 1 | 0 | 2 | 1 | 1 | 0 | 1 | 0 |  0 | 1 | 0 | 3 | 0 | 3 | 0 | 1 | 3 | 5 | 4 | 3 | 1 | 4 | 3 |
5 | Levine, Evan Scott | University of California, Berkeley | 2007 | male | 4 | 3 | 2008 | 4 | 4 | 2009 | 1 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
6 | Milam, Stefanie Nicole | The University of Arizona | 2007 | female | 5 | 3 | 2016 | 6 | 40 | 2017 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 1 | 1 | 3 | 2 | 6 | 5 | 2 | 2 | 1 | 5 | 5 | 8 |
7 | Stevens, Trevor | New Mexico State University | 2007 | male | 1 | 3 | 2012 | 1 | 4 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
8 | Healy, Matthew David | University of California, Los Angeles | 2007 | male | 1 | 2 | 2008 | 6 | 13 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 5 | 8 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
9 | Law, Casey James | Northwestern University | 2007 | male | 2 | 10 | 2015 | 9 | 45 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 3 | 2 | 0 | 0 | 1 | 0 |  3 | 1 | 1 | 1 | 2 | 1 | 5 | 3 | 5 | 10 | 4 | 4 | 2 | 6 | 3 |
10 | Vanderveld, Riva Ashley | Cornell University | 2007 | female | 1 | 0 | 2007 | 1 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
11 | Kuzio de Naray, Rachel | University of Maryland, College Park | 2007 | female | 3 | 8 | 2014 | 5 | 15 | 2016 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 2 | 1 | 0 | 1 | 0 | 0 |  1 | 0 | 1 | 0 | 1 | 2 | 1 | 2 | 2 | 2 | 1 | 0 | 1 | 5 | 1 |
12 | Sawicki, Ignacy | The University of Chicago | 2007 | male | 3 | 5 | 2017 | 8 | 21 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 1 | 7 | 0 | 1 | 2 | 3 | 0 | 7 | 2 | 2 | 3 |
13 | Li, Dalong | Georgia Institute of Technology | 2007 | male | 4 | 14 | 2017 | 9 | 50 | 2017 | 0 | 2 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 1 | 3 | 1 | 2 | 1 |  2 | 2 | 2 | 1 | 0 | 2 | 5 | 2 | 5 | 1 | 2 | 4 | 5 | 8 | 11 |
14 | Mostek, Nick | Indiana University | 2007 | male | 1 | 2 | 2013 | 3 | 7 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 4 | 1 | 0 | 0 |
15 | Bailey, Quentin G. | Indiana University | 2007 | male | 2 | 5 | 2016 | 2 | 12 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 1 | 0 | 3 | 3 |
16 | Cooper, Michael Caldwell | University of California, Berkeley | 2007 | male | 5 | 8 | 2012 | 48 | 112 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 1 | 3 | 5 | 16 | 23 | 13 | 9 | 5 | 14 | 16 | 19 | 9 | 16 | 7 |
17 | Denevi, Brett Wilcox | University of Hawai'i at Manoa | 2007 | male | 2 | 9 | 2016 | 2 | 66 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 2 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 5 | 5 | 7 | 12 | 7 | 10 | 7 | 11 |
18 | Ho, Chiu Man | University of Pittsburgh | 2007 | male | 11 | 21 | 2016 | 17 | 31 | 2016 | 2 | 0 | 2 | 3 | 2 | 2 | 4 | 0 | 1 | 3 | 2 | 6 | 1 | 3 | 1 |  2 | 1 | 3 | 3 | 3 | 5 | 4 | 2 | 2 | 6 | 3 | 6 | 3 | 4 | 1 |
19 | Lu, Yu | University of Minnesota | 2007 | male | 10 | 20 | 2016 | 27 | 79 | 2017 | 1 | 2 | 1 | 0 | 2 | 4 | 1 | 0 | 3 | 3 | 1 | 1 | 3 | 7 | 1 |  3 | 2 | 1 | 7 | 8 | 6 | 2 | 3 | 9 | 6 | 4 | 8 | 16 | 19 | 10 |
20 | Miao, Shun-Pei | University of Florida | 2007 | male | 4 | 10 | 2015 | 4 | 17 | 2017 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 1 | 2 | 2 | 0 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 3 | 1 | 2 | 2 | 2 | 2 | 3 | 0 | 3 | 2 | 0 |
21 | Wolfmeyer, Randy | Washington University in St. Louis | 2007 | male | 1 | 0 | 2007 | 2 | 0 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
22 | Baines, Ellyn | Georgia State University | 2007 | female | 2 | 14 | 2016 | 7 | 22 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 2 | 3 | 2 | 1 | 0 | 1 |  0 | 0 | 0 | 1 | 2 | 4 | 4 | 2 | 2 | 2 | 3 | 3 | 2 | 1 | 3 |
23 | Choi, Jun-Hwan | School: University of Massachusetts Amherst | 2007 | male | 3 | 10 | 2015 | 12 | 40 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 4 | 1 | 1 | 1 | 2 | 0 | 1 | 0 |  0 | 1 | 1 | 2 | 4 | 4 | 1 | 5 | 2 | 6 | 6 | 4 | 6 | 3 | 5 |
24 | Dick, Jason | University of California, Davis | 2007 | male | 2 | 1 | 2010 | 3 | 9 | 2014 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 2 | 4 | 0 | 1 | 2 | 0 | 0 |
25 | Harte, Abraham Isaiah | The Pennsylvania State University | 2007 | male | 4 | 13 | 2017 | 5 | 17 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 2 |  1 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 2 | 0 | 2 | 3 | 2 | 1 | 2 |
26 | Smith, Kendrick M. | The University of Chicago | 2007 | male | 9 | 8 | 2014 | 16 | 104 | 2017 | 0 | 1 | 1 | 1 | 3 | 3 | 0 | 1 | 1 | 3 | 2 | 0 | 1 | 0 | 0 |  1 | 1 | 4 | 1 | 5 | 4 | 5 | 7 | 6 | 13 | 10 | 18 | 18 | 18 | 6 |
27 | Liu, Wei | Princeton University | 2007 | male | 24 | 60 | 2017 | 73 | 160 | 2017 | 1 | 0 | 1 | 3 | 13 | 6 | 9 | 11 | 6 | 9 | 5 | 5 | 5 | 5 | 3 |  10 | 16 | 4 | 10 | 21 | 12 | 16 | 19 | 14 | 17 | 18 | 19 | 17 | 14 | 19 |
28 | Mussack, Kathleen Anita | University of Southern California | 2007 | female | 1 | 0 | 2007 | 1 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
29 | Subasavage, John P., Jr. | Georgia State University | 2007 | male | 5 | 2 | 2009 | 21 | 28 | 2017 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 2 | 5 | 5 | 6 | 3 | 1 | 1 | 7 | 2 | 2 | 6 | 4 | 1 |
30 | Kuehn, Kyler William | University of California, Irvine | 2007 | male | 2 | 2 | 2013 | 33 | 118 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  1 | 7 | 7 | 6 | 7 | 5 | 5 | 7 | 11 | 8 | 4 | 1 | 1 | 19 | 38 |
31 | Hill, Robert | Ball State University | 2007 | male | 1 | 2 | 2009 | 20 | 29 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 10 | 2 | 0 | 2 | 6 | 1 | 12 | 0 | 6 | 0 | 4 | 3 | 2 | 1 |
