 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 2 | Christe, Steven Daniel | University of California, Berkeley | 2007 | male | 1 | 5 | 2016 | 3 | 21 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 2 | 5 | 1 | 0 | 7 | 0 | 0 | 4 | 1 | 3 |
 5 | Levine, Evan Scott | University of California, Berkeley | 2007 | male | 4 | 3 | 2008 | 4 | 4 | 2009 | 1 | 0 | 0 | 0 | 2 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 6 | Milam, Stefanie Nicole | The University of Arizona | 2007 | female | 5 | 3 | 2016 | 6 | 40 | 2017 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 6 | 5 | 2 | 2 | 1 | 5 | 5 | 8 |
 12 | Sawicki, Ignacy | The University of Chicago | 2007 | male | 3 | 5 | 2017 | 8 | 21 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 7 | 0 | 1 | 2 | 3 | 0 | 7 | 2 | 2 | 3 |
 16 | Cooper, Michael Caldwell | University of California, Berkeley | 2007 | male | 5 | 8 | 2012 | 48 | 112 | 2017 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 5 | 16 | 23 | 13 | 9 | 5 | 14 | 16 | 19 | 9 | 16 | 7 |
 25 | Harte, Abraham Isaiah | The Pennsylvania State University | 2007 | male | 4 | 13 | 2017 | 5 | 17 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 2 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 2 | 0 | 2 | 3 | 2 | 1 | 2 |
 26 | Smith, Kendrick M. | The University of Chicago | 2007 | male | 9 | 8 | 2014 | 16 | 104 | 2017 | 0 | 1 | 1 | 1 | 3 | 3 | 0 | 1 | 1 | 3 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 4 | 1 | 5 | 4 | 5 | 7 | 6 | 13 | 10 | 18 | 18 | 18 | 6 |
 27 | Liu, Wei | Princeton University | 2007 | male | 24 | 60 | 2017 | 73 | 160 | 2017 | 1 | 0 | 1 | 3 | 13 | 6 | 9 | 11 | 6 | 9 | 5 | 5 | 5 | 5 | 3 | 10 | 16 | 4 | 10 | 21 | 12 | 16 | 19 | 14 | 17 | 18 | 19 | 17 | 14 | 19 |
 32 | Narayanan, Desika | The University of Arizona | 2007 | female | 6 | 19 | 2017 | 7 | 44 | 2017 | 0 | 0 | 1 | 1 | 3 | 1 | 4 | 1 | 3 | 2 | 3 | 3 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 4 | 1 | 5 | 3 | 5 | 3 | 6 | 10 | 3 | 5 | 2 |
 33 | Puckett, Andrew W. | The University of Chicago | 2007 | male | 1 | 0 | 2007 | 1 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
