n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Kwon, Woojin | University of Illinois at Urbana-Champaign | 2009 | male | 3 | 3 | 2015 | 5 | 28 | 2016 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 1 | 2 | 0 | 2 | 1 | 2 | 1 | 4 | 8 | 6 | 6 |
2 | Masiero, Joseph | Institute for Astronomy, University of Hawaii | 2009 | male | 7 | 9 | 2015 | 13 | 48 | 2017 | 0 | 1 | 0 | 1 | 0 | 5 | 1 | 1 | 3 | 1 | 1 | 2 | 0 |  0 | 1 | 1 | 4 | 0 | 7 | 2 | 10 | 12 | 4 | 4 | 8 | 5 |
3 | McCarthy, Christine | Brown University | 2009 | female | 2 | 3 | 2016 | 6 | 3 | 2016 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 |  1 | 0 | 2 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 |
4 | Palmer, Eric Edward | The University of Arizona | 2009 | male | 3 | 2 | 2011 | 3 | 9 | 2017 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 1 | 2 | 1 | 1 |
5 | Gainer, James Samuel | Stanford University | 2009 | male | 1 | 0 | 2009 | 3 | 2 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |
6 | Green, Daniel Richard | Stanford University | 2009 | male | 6 | 3 | 2016 | 12 | 44 | 2017 | 1 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 |  3 | 0 | 2 | 2 | 1 | 4 | 1 | 2 | 5 | 6 | 5 | 5 | 12 |
7 | Dolle, Ethan Michael | The University of Arizona | 2009 | male | 3 | 0 | 2009 | 4 | 0 | 2009 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
8 | Gleeson, Damhnait Fagan | University of Colorado at Boulder | 2009 | female | 1 | 1 | 2012 | 1 | 3 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 1 |
9 | Stewart, Kyle R. | University of California, Irvine | 2009 | male | 4 | 3 | 2013 | 7 | 13 | 2013 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 6 | 8 | 4 | 0 | 1 | 0 | 0 | 0 |
10 | Katunaric, Jose Luis Prieto | The Ohio State University | 2009 | male | 1 | 0 | 2009 | 1 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
11 | Blackburn, Megan Satterfield | Georgia Institute of Technology | 2009 | female | 1 | 0 | 2009 | 2 | 0 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
12 | McQuinn, Matthew Judd | Harvard University | 2009 | male | 10 | 14 | 2016 | 18 | 38 | 2017 | 0 | 1 | 2 | 2 | 1 | 4 | 1 | 4 | 2 | 1 | 2 | 1 | 3 |  0 | 2 | 3 | 5 | 3 | 5 | 2 | 7 | 5 | 2 | 6 | 6 | 8 |
13 | Sanchez, Ricardo Zanmar | Rutgers The State University of New Jersey - New Brunswick | 2009 | male | 1 | 0 | 2009 | 1 | 2 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
14 | Mabry, Jennifer Christine | Washington University in St. Louis | 2009 | female | 1 | 1 | 2015 | 2 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |
15 | Strahler, Erik Albert | The University of Wisconsin - Madison | 2009 | male | 1 | 0 | 2009 | 21 | 75 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 3 | 4 | 6 | 8 | 11 | 13 | 10 | 17 | 10 | 13 | 1 |
16 | Valeille, Arnaud | University of Michigan | 2009 | male | 3 | 2 | 2010 | 3 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |
17 | Palumbo, Annalia | University of Notre Dame | 2009 | female | 1 | 3 | 2013 | 12 | 6 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 |  1 | 1 | 2 | 1 | 2 | 5 | 2 | 1 | 2 | 1 | 0 | 0 | 0 |
18 | Dergachev, Vladimir | University of Michigan | 2009 | male | 5 | 15 | 2016 | 92 | 131 | 2017 | 0 | 0 | 1 | 1 | 0 | 3 | 3 | 1 | 2 | 2 | 0 | 5 | 2 |  1 | 16 | 7 | 17 | 23 | 28 | 17 | 11 | 20 | 10 | 14 | 14 | 35 |
19 | Menendez-Delmestre, Karin | California Institute of Technology | 2009 | female | 1 | 0 | 2009 | 8 | 39 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 3 | 1 | 2 | 3 | 5 | 8 | 4 | 8 | 7 | 4 |
20 | Chang, Chulhoon | Purdue University | 2009 | None | 5 | 10 | 2016 | 22 | 105 | 2017 | 1 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 2 | 3 | 0 | 3 | 1 |  2 | 4 | 5 | 2 | 6 | 3 | 12 | 14 | 15 | 17 | 10 | 17 | 15 |
21 | Mays, Mona Leila | The University of Texas at Austin | 2009 | female | 3 | 2 | 2015 | 6 | 13 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 3 | 1 | 2 | 0 | 2 | 1 | 1 | 1 | 4 | 3 |
22 | Chiang, Hsin Cynthia | California Institute of Technology | 2009 | male | 1 | 1 | 2010 | 1 | 106 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 3 | 33 | 19 | 46 |
23 | Collins, Benjamin Forster | California Institute of Technology | 2009 | male | 5 | 1 | 2010 | 6 | 1 | 2010 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
