n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Johnson, Megan C. | Georgia State University | 2011 | female | 2 | 5 | 2018 | 6 | 29 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 0 |  0 | 0 | 0 | 4 | 0 | 2 | 6 | 5 | 2 | 5 | 2 |
2 | Perez-Giz, Gabriel | Columbia University | 2011 | male | 1 | 0 | 2011 | 1 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
3 | Tanaka, Takamitsu | Columbia University | 2011 | male | 12 | 14 | 2018 | 183 | 95 | 2018 | 1 | 1 | 0 | 3 | 3 | 4 | 4 | 4 | 2 | 0 | 2 |  7 | 9 | 11 | 54 | 67 | 35 | 39 | 16 | 6 | 15 | 10 |
4 | de Messieres, Genevieve Escande | University of Notre Dame | 2011 | female | 1 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 |
5 | Anninos, Dionysios Theodoros | Harvard University | 2011 | male | 5 | 11 | 2018 | 5 | 11 | 2018 | 0 | 0 | 0 | 1 | 2 | 2 | 5 | 0 | 2 | 3 | 0 |  0 | 0 | 0 | 1 | 2 | 2 | 5 | 0 | 2 | 3 | 0 |
6 | Fridriksson, Joel K. | Department of Physics and Kavli Institute for Astrophysics and Space Research, Massachusetts Institute of Technology | 2011 | male | 5 | 1 | 2015 | 7 | 14 | 2018 | 0 | 0 | 1 | 0 | 1 | 3 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 0 | 2 | 4 | 2 | 3 | 2 | 4 | 2 |
7 | Dulaney, Timothy R. | California Institute of Technology | 2011 | male | 5 | 0 | 2011 | 6 | 0 | 2011 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |
8 | Ashley, James Warren | Arizona State University | 2011 | male | 2 | 2 | 2016 | 9 | 4 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 1 | 1 | 3 | 4 | 2 | 0 | 0 | 0 | 1 |
9 | Kazin, Eyal Ari | New York University | 2011 | male | 3 | 3 | 2014 | 10 | 17 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 8 | 5 | 6 | 3 | 0 | 2 |
10 | Zhao, Xinghai | University of Notre Dame | 2011 | None | 11 | 6 | 2017 | 28 | 26 | 2018 | 2 | 0 | 2 | 0 | 3 | 4 | 0 | 1 | 2 | 2 | 0 |  4 | 1 | 5 | 3 | 7 | 8 | 4 | 2 | 6 | 5 | 2 |
11 | Nwankwo, Anthony Chukwuemeka | The University of Texas at Dallas | 2011 | male | 2 | 0 | 2011 | 4 | 0 | 2011 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 |
12 | Gauthier, Jean-Rene | The University of Chicago | 2011 | male | 5 | 3 | 2014 | 8 | 9 | 2018 | 1 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 |  1 | 0 | 0 | 1 | 3 | 3 | 1 | 3 | 4 | 0 | 0 |
13 | Shcherbakov, Roman V. | Harvard University | 2011 | male | 5 | 5 | 2014 | 7 | 8 | 2014 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 2 | 2 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 4 | 2 | 3 | 3 | 0 | 0 |
14 | Rodriguez, Leo L. | The University of Iowa | 2011 | male | 6 | 2 | 2017 | 23 | 31 | 2018 | 0 | 0 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 1 |  3 | 0 | 3 | 7 | 4 | 6 | 4 | 2 | 5 | 3 | 9 |
15 | Indriolo, Nicholas | University of Illinois at Urbana-Champaign | 2011 | male | 1 | 1 | 2012 | 1 | 9 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 2 | 0 | 1 |
16 | Jacobs, Daniel C. | University of Pennsylvania | 2011 | male | 2 | 5 | 2017 | 4 | 40 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 2 | 2 | 3 | 6 | 6 | 11 | 11 |
17 | Poppe, Andrew Reinhold | University of Colorado at Boulder | 2011 | male | 6 | 18 | 2018 | 8 | 47 | 2018 | 0 | 0 | 0 | 0 | 2 | 4 | 5 | 2 | 3 | 2 | 5 |  0 | 0 | 1 | 0 | 2 | 5 | 8 | 8 | 8 | 7 | 9 |
18 | Patel, Pinkesh K. | California Institute of Technology | 2011 | male | 3 | 3 | 2017 | 55 | 21 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 1 |  0 | 8 | 15 | 14 | 10 | 8 | 14 | 1 | 1 | 2 | 1 |
19 | Cohen, Michael Isaac | California Institute of Technology | 2011 | male | 3 | 1 | 2012 | 46 | 8 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  4 | 6 | 3 | 3 | 22 | 8 | 2 | 2 | 1 | 1 | 2 |
20 | Hasenkopf, Christa A. | University of Colorado at Boulder | 2011 | female | 3 | 0 | 2011 | 6 | 0 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 |
21 | Ali-Haimoud, Yacine | California Institute of Technology | 2011 | None | 1 | 0 | 2011 | 1 | 1 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 |
22 | Pullen, Anthony R. | California Institute of Technology | 2011 | male | 5 | 7 | 2018 | 5 | 10 | 2018 | 0 | 2 | 0 | 0 | 1 | 2 | 0 | 2 | 2 | 1 | 2 |  0 | 2 | 0 | 0 | 1 | 2 | 0 | 2 | 5 | 1 | 2 |
23 | Lopez, Laura | MIT | 2011 | female | 7 | 5 | 2018 | 18 | 24 | 2018 | 2 | 0 | 0 | 2 | 0 | 3 | 0 | 2 | 2 | 1 | 0 |  4 | 0 | 1 | 4 | 4 | 5 | 2 | 7 | 5 | 2 | 4 |
24 | Yang, Soung-Chul | University of Florida | 2011 | male | 5 | 5 | 2018 | 26 | 35 | 2018 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 1 | 2 | 0 | 0 |  5 | 3 | 1 | 7 | 6 | 4 | 7 | 1 | 8 | 3 | 6 |
25 | Zhu, Zhaohuan | University of Michigan | 2011 | None | 10 | 13 | 2018 | 31 | 73 | 2018 | 1 | 1 | 1 | 3 | 2 | 2 | 3 | 2 | 2 | 4 | 2 |  3 | 1 | 4 | 10 | 5 | 8 | 7 | 13 | 11 | 10 | 17 |
26 | Zhang, Binbin | University of Nevada, Las Vegas | 2011 | male | 14 | 35 | 2018 | 116 | 100 | 2018 | 2 | 2 | 3 | 2 | 1 | 4 | 6 | 7 | 3 | 6 | 5 |  38 | 19 | 12 | 17 | 14 | 16 | 18 | 11 | 15 | 17 | 21 |
27 | Adams, Joshua Jesse | The University of Texas at Austin | 2011 | male | 4 | 3 | 2014 | 61 | 96 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 | 1 | 1 | 0 | 0 |  5 | 6 | 7 | 11 | 12 | 20 | 15 | 21 | 13 | 15 | 15 |
28 | Boyles, Jason | West Virginia University | 2011 | male | 2 | 1 | 2013 | 4 | 15 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 3 | 4 | 4 | 1 | 1 |
