n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Heiderman, Amanda Lea | University of Texas | 2012 | female | 3 | 1 | 2015 | 7 | 6 | 2015 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 4 | 2 | 0 | 1 | 3 | 1 | 2 | 0 |
2 | Gettel, Sara | The Pennsylvania State University | 2012 | female | 3 | 1 | 2016 | 4 | 6 | 2016 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 2 | 2 | 1 |
3 | Chatzikos, Marios | University of Virginia | 2012 | male | 1 | 3 | 2015 | 1 | 13 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 4 | 2 |
4 | Hamper, Randall T. | Indiana University | 2012 | male | 1 | 0 | 2018 | 2 | 0 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
5 | Donnelly, William | University of Maryland, College Park | 2012 | male | 7 | 12 | 2018 | 7 | 14 | 2018 | 0 | 1 | 0 | 2 | 1 | 3 | 1 | 1 | 1 | 5 |  0 | 1 | 0 | 2 | 1 | 3 | 2 | 1 | 2 | 5 |
6 | Meschiari, Stefano | University of California, Santa Cruz | 2012 | male | 7 | 1 | 2014 | 14 | 9 | 2016 | 0 | 1 | 1 | 1 | 1 | 3 | 0 | 1 | 0 | 0 |  0 | 1 | 3 | 6 | 1 | 3 | 1 | 3 | 2 | 3 |
7 | Guo, Fan | University of Arizona | 2012 | male | 6 | 7 | 2016 | 11 | 30 | 2018 | 0 | 1 | 0 | 2 | 0 | 3 | 1 | 2 | 2 | 2 |  0 | 2 | 2 | 2 | 1 | 4 | 2 | 8 | 9 | 5 |
8 | Kukuyeva, Irina A. | University of California, Los Angeles | 2012 | female | 1 | 0 | 2012 | 1 | 0 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
9 | Rimmer, Paul Brandon | The Ohio State University | 2012 | male | 3 | 4 | 2018 | 7 | 15 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 2 | 0 | 1 |  0 | 0 | 0 | 4 | 0 | 3 | 3 | 4 | 1 | 4 |
10 | Williams, G. V. | Smithsonian Astrophysical Observatory | 2012 | None | 1 | 1 | 2015 | 5 | 6 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |  0 | 0 | 1 | 3 | 0 | 1 | 4 | 0 | 1 | 0 |
