n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Lopez Rodriguez, Enrique | University of Florida | 2013 | male | 1 | 0 | 2013 | 4 | 11 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 2 | 4 | 3 |
2 | Baptista, Brian | Indiana University | 2013 | male | 2 | 0 | 2013 | 3 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 |
3 | Skillman, Samuel William | University of Colorado at Boulder | 2013 | male | 4 | 0 | 2013 | 10 | 4 | 2017 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  1 | 0 | 3 | 2 | 0 | 4 | 2 | 0 | 1 |
4 | Cook, Jessica L. | University of Massachusetts Amherst | 2013 | female | 6 | 3 | 2016 | 7 | 6 | 2016 | 2 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 |  2 | 0 | 0 | 1 | 2 | 2 | 2 | 2 | 2 |
5 | Sharon, Chelsea Electra | Rutgers The State University of New Jersey - New Brunswick | 2013 | female | 3 | 2 | 2016 | 7 | 5 | 2018 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 1 |  1 | 0 | 2 | 1 | 1 | 2 | 0 | 2 | 2 |
6 | Silvia, Devin W. | University of Colorado at Boulder | 2013 | male | 4 | 0 | 2013 | 5 | 2 | 2018 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 |
7 | Arnold, Jacob Antony | University of California, Santa Cruz | 2013 | male | 2 | 2 | 2016 | 14 | 17 | 2018 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 |  1 | 0 | 0 | 4 | 4 | 5 | 6 | 3 | 7 |
8 | Males, Jared Robert | The University of Arizona | 2013 | male | 3 | 1 | 2018 | 22 | 34 | 2018 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 |  0 | 1 | 4 | 2 | 5 | 10 | 6 | 12 | 7 |
9 | Dolan, Michelle M. | University of Notre Dame | 2013 | female | 1 | 1 | 2016 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 |
10 | Matsubara, Yo | University of Virginia | 2013 | None | 4 | 0 | 2013 | 76 | 58 | 2018 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  23 | 11 | 8 | 10 | 12 | 12 | 12 | 9 | 14 |
11 | Leung, Wing Fung | Rutgers The State University of New Jersey - New Brunswick | 2013 | None | 1 | 0 | 2013 | 2 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |
12 | Arora, Sanjay R. | Rutgers The State University of New Jersey - New Brunswick | 2013 | male | 1 | 0 | 2013 | 2 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 |
13 | Perez-Becker, Daniel Alonso | University of California, Berkeley | 2013 | male | 5 | 0 | 2013 | 9 | 0 | 2013 | 0 | 0 | 0 | 2 | 0 | 3 | 0 | 0 | 0 |  0 | 2 | 0 | 3 | 0 | 4 | 0 | 0 | 0 |
14 | Hemberger, Daniel | Cornell University | 2013 | male | 4 | 0 | 2013 | 8 | 18 | 2018 | 1 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 7 | 1 | 3 | 7 |
15 | Lindner, Robert Raymond | Rutgers The State University of New Jersey - New Brunswick | 2013 | male | 3 | 3 | 2015 | 3 | 10 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 4 | 1 |
16 | Rebolledo Lara, David Andres | University of Illinois at Urbana-Champaign | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
17 | Ginsburg, Idan | Dartmouth College | 2013 | male | 2 | 1 | 2018 | 5 | 4 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 3 | 2 | 1 | 0 | 1 |
18 | Santander, Juan Marcos | The University of Wisconsin - Madison | 2013 | male | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
19 | Sell, Paul Harrison | The University of Wisconsin - Madison | 2013 | male | 3 | 3 | 2018 | 8 | 6 | 2018 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 2 | 0 |  1 | 0 | 1 | 2 | 1 | 3 | 2 | 3 | 1 |
20 | Cheng, Shih-Ho | The Pennsylvania State University | 2013 | male | 1 | 0 | 2013 | 21 | 9 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 5 | 11 | 4 | 6 | 2 | 1 |
21 | Klein, Kristopher Gregory | The University of Iowa | 2013 | male | 2 | 9 | 2018 | 9 | 18 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 2 |  0 | 0 | 3 | 0 | 3 | 3 | 3 | 3 | 5 |
22 | Sangala, Bagvanth Reddy | The University of Alabama at Birmingham | 2013 | None | 1 | 0 | 2013 | 1 | 0 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
23 | Berg, Danielle Amanda | University of Minnesota | 2013 | female | 4 | 2 | 2018 | 6 | 10 | 2018 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 4 | 0 | 4 | 5 |
24 | Landera, Alexander | Florida International University | 2013 | male | 2 | 0 | 2013 | 4 | 0 | 2013 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |
25 | Schad, Thomas Anthony | The University of Arizona | 2013 | male | 4 | 5 | 2018 | 6 | 5 | 2018 | 0 | 0 | 2 | 0 | 0 | 2 | 1 | 1 | 1 |  0 | 0 | 2 | 1 | 1 | 2 | 1 | 1 | 1 |
26 | Clausen, Drew Reid | The Pennsylvania State University | 2013 | male | 6 | 2 | 2015 | 6 | 4 | 2018 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 1 | 0 |  0 | 0 | 0 | 2 | 2 | 2 | 1 | 2 | 1 |
27 | Masoumi, Ali | Columbia University | 2013 | male | 3 | 9 | 2017 | 3 | 14 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 |  0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 2 |
28 | Lee, Wing-Kit | University of California, San Diego | 2013 | None | 3 | 3 | 2016 | 6 | 6 | 2018 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 |  0 | 0 | 1 | 1 | 2 | 2 | 1 | 2 | 2 |
29 | Stoll, R. A. | The Ohio State University | 2013 | None | 3 | 0 | 2013 | 10 | 1 | 2018 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 1 | 4 | 0 | 1 | 0 |
30 | Madhavan, Arun | Iowa State University | 2013 | male | 1 | 0 | 2013 | 21 | 16 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 6 | 7 | 8 | 10 | 4 | 2 |
