n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
1 | Santana, Rodolfo | The University of Texas at Austin | 2015 | male | 2 | 1 | 2016 | 2 | 2 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 2 |
2 | Wu, Shuo | Dartmouth College | 2015 | male | 7 | 5 | 2018 | 46 | 15 | 2018 | 0 | 1 | 1 | 1 | 1 | 3 | 3 |  6 | 10 | 9 | 6 | 10 | 5 | 7 |
3 | Darvish Sarvestani, Behnam | University of California, Riverside | 2015 | male | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
4 | Staley, Alexa | Columbia University | 2015 | female | 3 | 0 | 2015 | 25 | 60 | 2018 | 0 | 0 | 1 | 0 | 1 | 1 | 0 |  0 | 0 | 1 | 2 | 14 | 8 | 28 |
5 | Laskar, Tanmoy | Harvard University | 2015 | None | 6 | 1 | 2018 | 15 | 7 | 2018 | 1 | 1 | 0 | 1 | 1 | 2 | 1 |  2 | 1 | 0 | 5 | 4 | 3 | 5 |
6 | Dhital, Niraj | Michigan Technological University | 2015 | male | 1 | 0 | 2015 | 33 | 7 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 4 | 11 | 2 | 9 | 7 | 4 |
7 | Olson, J. Pocahontas | University of Notre Dame | 2015 | female | 4 | 0 | 2015 | 6 | 1 | 2016 | 2 | 0 | 1 | 0 | 0 | 1 | 0 |  2 | 0 | 1 | 1 | 0 | 2 | 1 |
8 | Wong, Jacqueline Yin Sang | University of California, Los Angeles | 2015 | female | 1 | 0 | 2015 | 4 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 0 | 0 | 0 | 1 | 2 | 0 |
9 | Kolb, Kimberly | Rochester Institute of Technology | 2015 | female | 1 | 1 | 2016 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 1 |
10 | Hicks, Raea Kay | University of Colorado at Boulder | 2015 | male | 1 | 1 | 2016 | 2 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 1 | 1 | 1 |
11 | Winder, Sheena L. | Air Force Institute of Technology | 2015 | female | 1 | 0 | 2015 | 1 | 0 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 |
12 | Chung, Hyeyoun | Harvard University | 2015 | female | 7 | 1 | 2016 | 9 | 2 | 2018 | 2 | 1 | 2 | 0 | 0 | 2 | 1 |  3 | 1 | 2 | 0 | 0 | 3 | 2 |
13 | Watkins, Jessica | University of California, Los Angeles | 2015 | female | 2 | 0 | 2015 | 9 | 1 | 2018 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 2 | 3 | 1 | 0 | 3 | 0 |
14 | Carrier, Brandi L. | Tufts University | 2015 | female | 2 | 1 | 2017 | 4 | 1 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 |
15 | Zou, Ying | University of California, Los Angeles | 2015 | female | 6 | 2 | 2018 | 16 | 10 | 2018 | 0 | 0 | 1 | 1 | 1 | 3 | 1 |  1 | 0 | 2 | 3 | 3 | 7 | 7 |
16 | Nesvold, Erika | University of Maryland, Baltimore County | 2015 | female | 4 | 2 | 2018 | 6 | 7 | 2018 | 0 | 0 | 0 | 1 | 0 | 3 | 1 |  0 | 0 | 0 | 2 | 0 | 4 | 5 |
