# name gender1 accuracy1 samples1 gender2 accuracy2 samples2
Aage	male	99	94	male	  100	4
Aaron	male	99	36714	male	  100	2280
Abd	male	97	3867	male	   99	86
Abdelhamid	male	99	1348	male	  100	8
Abderrezak	male	99	233	male	  100	1
Abdossalam	male	100	4	None	nan	nan
Abdul	male	99	31552	male	  100	430
Abdulkarim	male	99	367	male	  100	2
Abhijit	male	100	3960	male	  100	57
Abhishek	male	100	27387	male	  100	308
Abigail	female	98	7631	female	  100	441
Abraham	male	99	10411	male	  100	292
Achotham	None	nan	nan	None	nan	nan
Adair	male	80	322	female	   57	7
Adam	male	99	101742	male	  100	3957
Adeline	female	97	10839	female	  100	173
Aditya	male	99	15725	male	  100	282
Adrian	male	98	56140	male	   97	1515
Adriana	female	98	39712	female	  100	1476
Adrianne	female	95	704	female	  100	37
Adrienne	female	99	3249	female	  100	249
Aeree	female	100	3	None	nan	nan
Agnes	female	98	12224	female	  100	332
Aguilo	male	100	3	None	nan	nan
Ah-San	male	65	7461	None	nan	nan
Ahilleas	male	100	20	None	nan	nan
Ahmad	male	98	61532	male	   99	908
Ahmed	male	98	156410	male	   99	2639
Ahmet	male	94	79443	male	   99	1388
Ai-Hua	female	66	2645	None	nan	nan
Aida	female	97	9234	female	   99	304
Aihua	female	85	55	None	nan	nan
Aimee	female	98	4602	female	  100	489
Aiqun	None	nan	nan	None	nan	nan
Aisha	female	98	5690	female	  100	212
Ajay-Kumar	male	99	30581	None	nan	nan
Ajaya	male	86	188	None	nan	nan
Aki	male	72	2507	male	   63	81
Akiko	female	97	629	female	  100	71
Akimi	female	87	30	female	  100	4
Alaa	male	86	12836	male	   68	258
Alain	male	98	53597	male	  100	482
Alaina	female	98	719	female	  100	61
Alak	male	80	84	None	nan	nan
Alan	male	99	44635	male	  100	2079
Alanna	female	98	917	female	  100	73
Albert	male	98	31368	male	   99	723
Alberto	male	99	73988	male	  100	1530
Alceste	male	83	35	None	nan	nan
Alcides	male	99	1169	male	  100	23
Aldo	male	99	13999	male	  100	275
Alejandra	female	98	18508	female	   99	1418
Alejandro	male	99	45618	male	  100	1951
Alejo	male	99	1378	male	  100	100
Aleksandr	male	100	5850	male	  100	25
Aleksandra	female	97	18007	female	   99	238
Alessandra	female	95	30251	female	  100	669
Alessandro	male	99	75271	male	  100	1025
Alex	male	92	247706	male	   87	5856
Alexander	male	99	56237	male	  100	1645
Alexandra	female	98	53680	female	  100	1723
Alexandre	male	99	52132	male	  100	899
Alexandros	male	99	2824	male	  100	79
Alexei	male	98	1403	male	  100	29
Alexey	male	100	7132	male	  100	45
Alexia	female	95	9286	female	  100	226
Alfred	male	98	12096	male	  100	230
Alfredo	male	99	21417	male	  100	687
Ali	male	94	240857	male	   85	3351
Alice	female	98	40209	female	  100	1414
Alicia	female	98	29319	female	   99	1563
Alin	male	87	4238	male	   69	29
Alin-Daniel	male	100	4	None	nan	nan
Alireza	male	99	9043	male	  100	90
Alison	female	93	14178	female	   99	1288
Allan	male	99	15490	male	  100	590
Allen	male	96	10293	male	   99	561
Allison	female	95	11270	female	  100	1033
Allyn	male	52	195	female	   86	28
Allyson	female	87	1763	female	  100	158
Alma	female	94	6888	female	   99	364
Almus	male	71	7	None	nan	nan
Alok	male	100	5679	male	  100	111
Alon	male	96	825	male	   98	50
Alphonse	male	97	2198	male	  100	8
Althea	female	98	598	female	  100	35
Alvin	male	99	7247	male	  100	334
Alycia	female	98	657	female	  100	28
Alysha	female	98	505	female	  100	42
Alyson	female	85	1669	female	   99	139
Alyssa	female	99	8542	female	  100	728
Amanda	female	98	64384	female	  100	4907
Amauri	male	96	682	male	  100	6
Amber	female	97	17754	female	  100	1725
Amelia	female	98	8534	female	  100	371
Amelie	female	97	6887	female	   99	275
Amiel	male	88	195	male	  100	6
Amir	male	98	33635	male	  100	508
Amit	male	99	37747	male	   99	479
Amita	female	96	774	female	  100	51
Amitabha	male	97	118	None	nan	nan
Amol	male	98	5022	male	  100	57
Amri	male	89	823	male	   71	14
Amy	female	98	42632	female	   99	4334
Ana	female	97	141747	female	   99	3621
Anand	male	100	13788	male	  100	187
Ananth	male	99	1017	male	  100	11
Anastasios	male	99	608	male	  100	9
Anatoly	male	100	987	male	  100	5
Anca	female	95	2755	female	   98	47
Anders	male	99	9660	male	  100	603
Andisheh	female	54	28	None	nan	nan
Andras	male	98	1103	male	   86	14
Andre	male	97	49457	male	   93	860
Andrea	female	54	161059	female	   79	5794
Andreas	male	99	42553	male	  100	1021
Andreea	female	96	6113	female	  100	117
Andrei	male	98	12349	male	   99	168
Andrej	male	99	6055	male	   99	84
Andres	male	98	33708	male	  100	2057
Andrew	male	99	82448	male	  100	5168
Andrey	male	99	14894	male	   99	147
Andri	male	89	4269	male	   91	70
Andriy	male	99	1458	male	  100	14
Andrzej	male	99	22799	male	   98	50
Angel	male	69	56796	male	   61	1668
Angela	female	98	69937	female	  100	3511
Angelle	female	97	581	female	  100	1
Angelo	male	94	44479	male	  100	539
Angus	male	96	1761	male	   96	103
Anibal	male	99	2670	male	   98	90
Anil	male	99	21766	male	   99	274
Anirban	male	100	1707	male	  100	11
Aniruddha	male	100	1036	male	  100	13
Anita	female	98	40133	female	  100	1519
Anjali	female	98	4232	female	  100	89
Anjum	male	69	806	female	   70	10
Ann	female	97	23825	female	   99	1818
Anna	female	98	184558	female	  100	4755
Annalia	female	100	65	None	nan	nan
Anne	female	98	48855	female	  100	2461
Anneila	None	nan	nan	None	nan	nan
Annette	female	98	8428	female	  100	639
Annie	female	98	24785	female	  100	1120
Annika	female	98	4489	female	  100	162
Anouk	female	97	1634	female	  100	53
Antara	female	86	348	female	  100	14
Anthony	male	99	85303	male	  100	3029
Antoine	male	99	26199	male	  100	411
Antoinette	female	98	3052	female	  100	144
Anton	male	99	21192	male	  100	537
Antonin	male	98	1899	male	  100	43
Antonino	male	99	6860	male	  100	48
Antonio	male	99	180825	male	  100	2290
Antonios	male	99	413	male	  100	6
Antony	male	98	11567	male	  100	249
Antoun	male	97	79	None	nan	nan
Anuj	male	100	5473	male	  100	108
Anup	male	100	3641	male	   99	95
Anupam	male	95	2666	male	   98	55
Anupama	female	97	1007	female	  100	45
Anuradha	female	86	1570	female	   91	32
Anurag	male	100	6515	male	  100	64
Aparna	female	98	2102	female	  100	38
