n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last | hubble_host | hubble_year | foo
## Joshua Carter | Smithsonian Astrophysical Observatory | 2010 | 
# Caitlin Casey | University of Hawaii, Institute for Astronomy | 2010 |
16 | Cooper, Michael Caldwell | University of California, Berkeley | 2007 | male | 5 | 8 | 2012 | 48 | 112 | 2017 | University of California, Irvine | 2010 |
# Selma de Mink | Space Telescope Science Institute | 2010 |
94 | Dupuy, Trent J. | University of Hawai'i at Manoa | 2010 | male | 6 | 9 | 2016 | 17 | 46 | 2017 | Smithsonian Astrophysical Observatory | 2010 |
165 | Fabrycky, Daniel Clark | Princeton University | 2007 | male | 4 | 5 | 2014 | 7 | 103 | 2017 | University of California, Santa Cruz | 2010 |
21 | Gilbert, Karoline M. | University of California, Santa Cruz | 2008 | female | 5 | 4 | 2014 | 16 | 47 | 2016 | University of Washington | 2010 |
208 | Hsieh, Henry H. | University of Hawai'i at Manoa | 2007 | male | 4 | 18 | 2016 | 8 | 37 | 2016 | University of Hawaii, Institute for Astronomy | 2010 |
33 | Keisler, Ryan Scott | The University of Chicago | 2010 | male | 2 | 3 | 2015 | 11 | 57 | 2016 | University of Chicago | 2010 |
241 | Keres, Dusan | University of Massachusetts Amherst | 2007 | male | 2 | 0 | 2007 | 6 | 61 | 2017 | University of California, Berkeley | 2010 |
235 | Modjaz, Maryam | Harvard University | 2007 | female | 3 | 9 | 2016 | 10 | 52 | 2017 | Columbia University | 2010 |
# Pascal Oesch | University of California, Santa Cruz | 2010 |
173 | Quadri, Ryan F. | Yale University | 2007 | male | 4 | 3 | 2012 | 13 | 60 | 2017 | Observatories of the Carnegie Institute of Washington | 2010 |
333 | Reid, Beth Ann | Princeton University | 2008 | female | 2 | 11 | 2016 | 5 | 51 | 2017 | Lawrence Berkeley National Laboratory | 2010 |
404 | Schlichting, Hilke Elisabeth | California Institute of Technology | 2009 | female | 6 | 7 | 2015 | 7 | 17 | 2017 | University of California, Los Angeles | 2010 |
# Debora Sijacki | Harvard College Observatory | 2010 |
138 | Walker, Matthew G. | University of Michigan | 2007 | male | 6 | 14 | 2016 | 12 | 125 | 2017 | Harvard College Observatory | 2010 |
184 | Ammons, Stephen Mark | University of California, Santa Cruz | 2009 | male | 3 | 3 | 2014 | 10 | 35 | 2017 | University of Arizona | 2009 |
270 | Bentz, Misty C. | The Ohio State University | 2007 | female | 7 | 12 | 2016 | 18 | 59 | 2017 | University of California, Irvine | 2009 |
334 | Boyajian, Tabetha S. | Georgia State University | 2009 | female | 7 | 9 | 2016 | 13 | 62 | 2017 | Georgia State University | 2009 |
200 | Covey, Kevin R. | University of Washington, Washington, USA | 2006 | male | 5 | 6 | 2016 | 26 | 79 | 2017 | Cornell University | 2009 |
188 | Finlator, Kristian Markwart | The University of Arizona | 2009 | male | 6 | 7 | 2017 | 9 | 33 | 2017 | University of California, Santa Barbara | 2009 |
301 | Juric, Mario | Princeton University | 2006 | male | 1 | 0 | 2006 | 27 | 41 | 2016 | Harvard University | 2009 |
209 | Kirby, Evan N. | University of California, Santa Cruz | 2009 | male | 5 | 20 | 2017 | 14 | 55 | 2017 | California Institute of Technology | 2009 |
78 | Kraus, Adam L. | California Institute of Technology | 2010 | male | 11 | 11 | 2017 | 35 | 87 | 2017 | University of Hawaii | 2009 |
63 | Leroy, Adam Kirby | University of California, Berkeley | 2006 | male | 3 | 16 | 2017 | 10 | 127 | 2017 | National Radio Astronomy Observatory | 2009 |
89 | Marrone, Daniel Patrick | Harvard University | 2006 | male | 3 | 4 | 2012 | 14 | 126 | 2017 | University of Chicago | 2009 |
# Karin Oberg | Smithsonian Astrophysical Observatory | 2009 |
48 | Prieto Katunaric, Jose Luis | The Ohio State University | 2009 | male | 1 | 0 | 2009 | 35 | 74 | 2017 | Observatories of the Carnegie Institute of Washington Pasadena | 2009 |
125 | Robertson, Brant Edward | Harvard University, Massachusetts, USA | 2006 | male | 6 | 14 | 2015 | 23 | 66 | 2017 | California Institute of Technology | 2009 |
229 | Winter, Lisa M. | University of Maryland, College Park | 2008 | female | 5 | 12 | 2016 | 12 | 36 | 2016 | University of Colorado Boulder | 2009 |
