1972	(23, 'Chapman, Clark Russell', 'MASSACHUSETTS INSTITUTE OF TECHNOLOGY.', 1972, 'male', 11, 372, 2013, 12, 501, 2016, 3, 3, 3, 1, 0, 1, 3, 6, 5, 3, 3, 2, 4, 1, 0, 1, 2, 0, 1, 1, 1, 0, 2, 4, 5, 2, 4, 7, 3, 4, 3, 1, 2, 0, 0, 3, 1, 2, 289, 1, 2, 1, 0, 2, 0, 0, 1, 0, 0, 0, 3, 3, 3, 2, 0, 1, 4, 6, 8, 5, 4, 6, 10, 1, 1, 2, 3, 4, 2, 1, 4, 1, 2, 7, 7, 6, 4, 14, 6, 13, 6, 8, 9, 3, 10, 8, 1, 3, 290, 1, 3, 4, 5, 7, 3, 2, 7, 4, 4, 2, 0)	383
1974	(207, 'Ip, Wing-Huen', 'UNIVERSITY OF CALIFORNIA, SAN DIEGO.', 1974, 'male', 7, 148, 2016, 10, 485, 2017, 0, 0, 0, 0, 2, 5, 3, 5, 5, 6, 3, 7, 3, 1, 8, 9, 4, 7, 7, 6, 6, 9, 7, 5, 4, 4, 5, 3, 7, 4, 2, 3, 1, 2, 1, 4, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 1, 2, 7, 4, 8, 8, 7, 5, 8, 8, 2, 16, 15, 7, 15, 20, 8, 11, 12, 11, 10, 9, 5, 8, 8, 13, 7, 5, 6, 6, 6, 4, 11, 14, 9, 22, 8, 11, 9, 11, 10, 9, 12, 46, 52, 0)	155
1975	(194, 'Harris, Alan William', 'UNIVERSITY OF CALIFORNIA, LOS ANGELES.', 1975, 'male', 4, 166, 2016, 6, 418, 2017, 0, 0, 1, 0, 0, 3, 2, 1, 1, 4, 5, 1, 2, 7, 7, 4, 6, 6, 4, 7, 7, 5, 5, 6, 5, 5, 7, 8, 8, 6, 6, 1, 2, 0, 5, 7, 4, 3, 2, 2, 1, 2, 3, 0, 3, 4, 2, 0, 0, 1, 1, 0, 4, 4, 4, 1, 6, 8, 4, 3, 8, 9, 5, 6, 6, 4, 12, 9, 8, 10, 10, 7, 9, 7, 15, 8, 8, 16, 11, 13, 9, 15, 12, 19, 14, 12, 18, 24, 17, 17, 10, 15, 15, 7, 0)	170
1976	(72, 'Wang, Yi-Ming', 'MASSACHUSETTS INSTITUTE OF TECHNOLOGY.', 1976, 'male', 2, 196, 2017, 4, 538, 2017, 0, 0, 0, 0, 1, 1, 0, 2, 1, 0, 5, 3, 1, 5, 3, 1, 3, 3, 3, 4, 3, 2, 3, 5, 10, 5, 7, 3, 4, 8, 3, 9, 9, 5, 5, 5, 4, 5, 9, 6, 7, 7, 9, 11, 7, 10, 0, 1, 0, 1, 1, 1, 1, 3, 3, 1, 5, 4, 1, 5, 4, 1, 4, 6, 6, 7, 7, 3, 3, 6, 12, 9, 11, 8, 9, 12, 6, 14, 14, 10, 13, 16, 15, 24, 35, 29, 32, 21, 21, 35, 38, 64, 0)	198
1978	(214, 'Turner, Michael Stanley', 'STANFORD UNIVERSITY.', 1978, 'male', 5, 89, 2015, 6, 257, 2016, 0, 0, 0, 0, 2, 3, 5, 2, 1, 5, 4, 3, 4, 4, 4, 7, 2, 4, 4, 3, 5, 0, 1, 4, 5, 0, 4, 4, 3, 4, 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 3, 6, 5, 8, 12, 12, 10, 11, 8, 14, 12, 5, 12, 10, 9, 13, 9, 12, 8, 12, 7, 11, 8, 13, 5, 3, 3, 1, 2, 2, 4, 1, 2, 1, 2, 2, 0, 1, 1, 0)	94
1979	(148, 'Boss, Alan Paul', 'UNIVERSITY OF CALIFORNIA, SANTA BARBARA.', 1979, 'male', 3, 145, 2017, 5, 219, 2017, 0, 0, 1, 0, 0, 2, 5, 3, 4, 2, 3, 7, 5, 5, 5, 4, 1, 2, 2, 4, 1, 11, 5, 4, 9, 1, 5, 6, 5, 3, 6, 3, 6, 3, 4, 3, 3, 2, 4, 4, 2, 2, 0, 0, 0, 1, 2, 0, 2, 6, 4, 4, 2, 4, 8, 6, 5, 5, 5, 1, 2, 2, 5, 3, 12, 8, 5, 10, 1, 9, 7, 6, 7, 6, 3, 9, 8, 6, 6, 9, 8, 12, 14, 5, 2, 3, 0)	148
1980	(85, 'Massey, Philip Louis', 'UNIVERSITY OF COLORADO AT BOULDER.', 1980, 'male', 7, 70, 2017, 10, 159, 2017, 1, 0, 2, 0, 1, 3, 8, 0, 4, 3, 2, 1, 2, 1, 3, 2, 1, 1, 1, 0, 4, 1, 0, 3, 0, 4, 2, 3, 4, 1, 2, 3, 3, 0, 2, 0, 1, 1, 2, 1, 1, 2, 1, 0, 2, 0, 1, 6, 11, 0, 6, 6, 6, 4, 6, 3, 6, 5, 3, 4, 3, 3, 5, 3, 2, 3, 0, 4, 5, 8, 5, 4, 4, 6, 5, 2, 4, 3, 5, 10, 2, 5, 3, 3, 0)	77
1982	(89, 'Chakrabarti, S.', 'California Univ., Berkeley.', 1982, 'None', 4, 153, 2017, 5, 404, 2017, 0, 0, 0, 2, 0, 2, 1, 3, 5, 4, 2, 5, 7, 7, 2, 8, 9, 4, 4, 10, 2, 4, 5, 6, 4, 3, 2, 3, 8, 7, 4, 4, 7, 1, 4, 2, 3, 3, 5, 3, 0, 0, 0, 3, 0, 2, 4, 4, 8, 8, 4, 7, 8, 12, 3, 9, 22, 10, 8, 13, 3, 6, 9, 14, 18, 18, 5, 9, 23, 12, 8, 12, 14, 14, 26, 14, 14, 13, 24, 19, 0)	157
1983	(70, 'Takahashi, K.', 'California Univ., Los Angeles.', 1983, 'None', 11, 144, 2017, 18, 455, 2017, 2, 1, 0, 2, 1, 5, 3, 6, 3, 6, 6, 2, 5, 5, 5, 5, 3, 2, 3, 3, 2, 3, 3, 6, 8, 8, 7, 5, 2, 3, 5, 3, 2, 3, 5, 4, 4, 5, 7, 2, 2, 0, 4, 2, 8, 6, 10, 10, 10, 14, 10, 15, 12, 16, 11, 10, 8, 6, 9, 10, 16, 8, 15, 13, 16, 19, 18, 12, 10, 10, 11, 19, 19, 14, 27, 15, 25, 23, 0)	155
1985	(61, 'Raga, Alejandro Cristian', 'UNIVERSITY OF WASHINGTON.', 1985, 'male', 2, 110, 2016, 2, 340, 2017, 0, 0, 0, 0, 0, 2, 5, 3, 4, 4, 3, 4, 4, 6, 2, 4, 3, 4, 4, 1, 5, 3, 5, 1, 4, 2, 0, 2, 3, 4, 3, 4, 6, 4, 2, 7, 4, 0, 0, 0, 0, 0, 2, 7, 5, 6, 8, 7, 12, 7, 12, 6, 16, 12, 11, 13, 6, 13, 11, 10, 10, 15, 15, 9, 11, 11, 17, 15, 13, 14, 11, 13, 13, 8, 0)	112
