name gender1 accuracy1 samples1 gender2 accuracy2 samples2
Elsa	female	98	11805	female	  100	404
Augusta	female	95	996	female	  100	16
Heywood	male	89	18	male	  100	1
Lotty	female	83	110	female	  100	5
Kam	male	79	2409	female	   61	80
Hanying	female	89	18	None	nan	nan
Manny	male	96	3168	male	  100	160
Aleksandar	male	99	7777	male	   99	198
Ravin	male	93	485	male	   88	8
Lorren	female	79	48	male	  100	3
Ilias	male	99	3691	male	   95	42
Watanachak	None	nan	nan	None	nan	nan
Mikki	female	59	606	female	   78	27
Jeong-Sun	male	63	5562	None	nan	nan
Efunwande	None	nan	nan	None	nan	nan
Rita	female	98	40332	female	  100	1097
Ramkumar	male	100	863	male	  100	4
Bogdan	male	99	10718	male	  100	88
Ori	male	70	873	male	   76	46
Quyen	female	64	998	female	   95	22
Keiko	female	95	723	female	   98	58
Huthavahana	None	nan	nan	None	nan	nan
Margarita	female	98	9000	female	  100	441
Jayce	male	77	324	male	   92	12
Ishani	female	98	295	female	  100	4
Giulia	female	99	29392	female	   99	543
Rogier	male	99	539	male	  100	10
Cien	male	62	29	male	  100	1
Erwin	male	99	8787	male	   98	185
Trent	male	100	2215	male	  100	237
Jackie	female	84	15948	female	   95	1453
Dragana	female	97	2696	female	   99	88
Yilen	male	67	3	None	nan	nan
Hsien-Kai	male	90	11298	None	nan	nan
Seong-Kook	male	62	725	None	nan	nan
Donghui	male	86	22	male	  100	2
Cheng-Jiun	male	73	1957	None	nan	nan
Rishi	male	98	4189	male	  100	108
Kirstin	female	99	760	female	  100	63
Rodolfo	male	99	8087	male	  100	304
Katie	female	99	27554	female	  100	3741
Urvashi	female	99	523	female	  100	7
Iulia	female	98	1773	female	  100	62
Jedidiah	male	88	190	male	   67	3
Jillian	female	98	2990	female	   99	388
Oscar	male	99	48539	male	   99	1650
Kaveh	male	99	1224	male	  100	28
Suresh	male	100	15885	male	   99	154
Sukumar	male	99	612	None	nan	nan
Kendra	female	98	3515	female	  100	268
Akshay	male	100	11824	male	  100	92
Helber	male	99	123	male	  100	2
Branimir	male	99	352	male	  100	24
Carolin	female	97	1893	female	  100	107
Rok	male	97	964	male	  100	25
Neelam	female	92	1659	female	   97	33
Sourav	male	100	3933	male	  100	37
Sanghamitra	female	96	190	female	  100	5
Razieh	female	99	179	female	  100	1
Itay	male	100	285	male	  100	42
Mei-Yin	female	78	3514	None	nan	nan
Selby	male	83	172	male	  100	2
Marko	male	99	19140	male	   99	377
Moira	female	99	1802	female	  100	92
Ayao	male	92	50	None	nan	nan
Brendon	male	99	1721	male	   99	114
Felipe	male	99	29541	male	  100	912
Audrey	female	97	33454	female	  100	1057
Hwajung	female	73	11	None	nan	nan
Raina	female	91	757	female	  100	26
Ka-Wah	male	55	2613	None	nan	nan
Federica	female	99	23181	female	   99	432
Bulent	male	96	4184	male	  100	28
Yeuk	None	nan	nan	None	nan	nan
Sanchayeeta	female	100	3	None	nan	nan
Sabrina	female	98	60955	female	  100	1331
Nicholeen	None	nan	nan	None	nan	nan
Ronnie	male	91	6985	male	   90	393
Ritaban	male	100	10	None	nan	nan
Abrar	male	80	1691	female	   50	6
Roban	male	89	53	None	nan	nan
Adria	male	56	1007	female	   70	20
Alioune	male	98	1870	male	  100	10
Yury	male	84	1687	female	   87	39
Claude-Andre	male	94	75078	None	nan	nan
Joey	male	86	13472	male	   80	865
Carl-Johan	male	100	89	male	  100	3
Donghui	male	86	22	male	  100	2
Camron	male	95	293	male	  100	6
Amal	female	85	15415	female	   92	202
Burak	male	97	44779	male	   99	519
Alistair	male	99	1682	male	  100	98
Serina	female	96	498	female	  100	33
Raluca	female	99	1897	female	  100	40
Aurelien	male	98	7905	male	  100	5
Mihoko	female	98	53	female	  100	3
Zak	male	97	5260	male	  100	138
Cameron	male	93	9233	male	   94	614
Pawel	male	99	11413	male	   98	60
Shih-Hung	male	100	8	None	nan	nan
Licia	female	99	1080	female	  100	22
Cesar	male	99	24208	male	  100	1120
